ThemeID,CrawlingDepth,Category,URL
1,1,power,https://en.wikipedia.org/wiki/Power_(social_and_political)
2,1,achievement,https://en.wikipedia.org/wiki/Need_for_achievement
2,1,achievement,https://en.wikipedia.org/wiki/Social_influence
3,1,hedonism,https://en.wikipedia.org/wiki/Hedonism
4,1,stimulation,https://en.wikipedia.org/wiki/Stimulation
5,0,self-direction,https://en.wikipedia.org/wiki/Creativity
5,0,self-direction,https://en.wikipedia.org/wiki/Freedom
5,0,self-direction,https://en.wikipedia.org/wiki/Independence
6,0,universalism,https://en.wikipedia.org/wiki/Universalism
6,0,universalism,ttps://en.wikipedia.org/wiki/Social_justice
6,0,universalism,https://en.wikipedia.org/wiki/Egalitarianism
6,0,universalism,,https://en.wikipedia.org/wiki/Environmental_protection
7,1,benevolence,https://en.wikipedia.org/wiki/Altruism
7,1,benevolence,https://en.wikipedia.org/wiki/Loyalty
7,1,benevolence,https://en.wikipedia.org/wiki/Responsibility
8,1,tradition,https://en.wikipedia.org/wiki/Tradition
8,1,tradition,https://en.wikipedia.org/wiki/Modesty
9,1,conformity,https://en.wikipedia.org/wiki/Conformity
9,1,conformity,https://en.wikipedia.org/wiki/Obedience_(human_behavior)
9,1,conformity,https://en.wikipedia.org/wiki/Discipline
10,1,security,https://en.wikipedia.org/wiki/Security
10,1,security,https://en.wikipedia.org/wiki/Social_order
10,1,security,https://en.wikipedia.org/wiki/Cleanliness
