,Score,Stem,Tf,Type,Word
0,7.138217411647015,cognit,75,common,cognitive
1,6.152933808285908,anti,14,common,anti
2,5.99878312845865,orient,12,common,orientations
3,5.738500030194984,affili,37,common,affiliation
4,5.71110105600687,behavior,9,common,behaviors
5,5.71110105600687,tat,9,common,tat
6,5.593318020350487,norm,8,common,normative
7,5.459786627725964,themat,7,common,thematic
8,5.410996463556532,trait,20,common,trait
9,5.376016744660505,orient,103,common,orientation
10,5.305635947898705,bias,6,common,biases
11,5.263076333479909,feedback,23,common,feedback
12,5.123314391104751,inform,10,common,informational
13,5.096285718716831,propaganda,146,common,propaganda
14,5.017953875446924,anteced,9,common,antecedents
15,4.980213547464078,interact,13,common,interactions
16,4.7666394471660185,influenc,7,common,influencing
17,4.61248876733876,gender,6,common,gender
18,4.52547739034913,environ,11,common,environments
19,4.494705731682377,complianc,16,common,compliance
20,4.448185716047483,outcom,28,common,outcomes
21,4.430167210544806,research,10,common,researchers
22,4.430167210544806,murray,20,common,murray
23,4.411818071876609,motiv,27,common,motivation
24,4.393609614811008,self,94,common,self
25,4.361174339057854,trait,14,common,traits
26,4.361174339057854,behaviour,7,common,behaviour
27,4.361174339057854,cohen,7,common,cohen
28,4.361174339057854,motiv,21,common,motivated
29,4.302333839034921,goal,132,common,goal
30,4.2811316313843175,media,28,common,media
31,4.2760165307175475,psycholog,30,common,psychology
32,4.261090880500872,persuas,19,common,persuasion
33,4.261090880500872,efficaci,19,common,efficacy
34,4.207023659230596,cue,6,common,cues
35,4.207023659230596,poster,8,common,poster
36,4.207023659230596,propagandist,6,common,propagandist
37,4.207023659230596,organiz,10,common,organizational
38,4.207023659230596,identifi,6,common,identifying
39,4.207023659230596,experienti,8,common,experiential
40,4.164464044811799,construct,23,common,construct
41,4.152956437960319,corpor,36,common,corporate
42,4.132915687076873,manipul,13,common,manipulation
43,4.120012282240966,user,11,common,users
44,4.024702102436641,posit,15,common,positively
45,3.969893865941646,impress,71,common,impression
46,3.96016358129907,conform,25,common,conformity
47,3.9193415867788146,bia,12,common,bias
48,3.850348715291863,esteem,7,common,esteem
49,3.7762407431381413,psychologist,13,common,psychologist
50,3.714547174132801,obedi,11,common,obedience
51,3.696198035464605,non,12,common,non
52,3.696198035464605,reli,6,common,relying
53,3.696198035464605,learn,72,common,learning
54,3.696198035464605,propheci,6,common,prophecy
55,3.676395408168425,interact,20,common,interaction
56,3.6680271584979085,perceiv,14,common,perceived
57,3.631659514327034,person,54,common,personality
58,3.631659514327034,avoid,9,common,avoidance
59,3.6161553277910685,achiev,72,common,achievement
60,3.609186658474975,retriev,11,common,retrieved
61,3.609186658474975,conform,11,common,conform
62,3.51387647867065,strategi,22,common,strategy
63,3.5000831565383144,individu,72,common,individuals
64,3.4625831842831,goal,38,common,goals
65,3.4085159630128237,likelihood,9,common,likelihood
66,3.397466126826239,manag,81,common,management
67,3.3960934430142666,compet,16,common,competence
68,3.359725798843392,particip,6,common,participants
69,3.321504586023194,proof,33,common,proof
70,3.275465455225652,present,26,common,presentation
71,3.262562050389744,percept,7,common,perceptions
72,3.251512214203159,perceiv,10,common,perceive
73,3.245612492075971,brand,13,common,brand
74,3.226194406218869,influenc,12,common,influenced
75,3.226194406218869,messag,12,common,messages
76,3.226194406218869,petti,6,common,petty
77,3.1929687585905486,situat,37,common,situations
78,3.15250669042771,perform,85,common,performance
79,3.146151698545333,nazi,9,common,nazi
80,3.142312922238167,task,20,common,tasks
81,3.108411370562486,refer,12,common,refers
82,3.108411370562486,human,6,common,humans
83,3.0438728494249148,payn,10,common,payne
84,3.022755925983992,commun,41,common,communication
85,3.013101190758161,influenc,80,common,influence
86,3.0030508549046595,masteri,6,common,mastery
87,3.0030508549046595,argu,6,common,argues
88,3.0030508549046595,herman,6,common,herman
89,3.0030508549046595,present,6,common,presenting
90,2.974879977937963,cultur,7,common,cultures
91,2.974879977937963,20th,7,common,20th
92,2.91603947791503,minor,11,common,minority
93,2.9077406751003347,integr,6,common,integrated
94,2.8948372702644267,abil,7,common,abilities
95,2.8948372702644267,adopt,7,common,adopt
96,2.885267819248276,reward,8,common,reward
97,2.885267819248276,network,16,common,network
98,2.8819729233514235,social,202,common,social
99,2.820729298110705,center,7,common,centered
100,2.820729298110705,audienc,8,common,audiences
101,2.820729298110705,site,8,common,sites
102,2.820729298110705,engag,7,common,engage
