,Score,Stem,Tf,Type,Word
0,6.109088977160318,collabor,241,raw,collaborated
1,6.109088977160318,softwar,66,stem,
2,6.109088977160318,telepres,74,stem,
3,6.109088977160318,crowdsourc,172,stem,
4,5.711888378902048,stanford,18,raw,stanford
5,5.654729965062098,citat,17,raw,citations
6,5.6448776686190865,collabor,202,raw,collaboration
7,5.598269796067106,onlin,51,stem,
8,5.562356644931083,video,31,raw,video
9,5.540616658294677,user,91,raw,users
10,5.278252393827186,portal,35,raw,portal
11,5.219411893804253,ration,11,raw,rationality
12,5.219411893804253,uk,11,raw,uk
13,5.124101713999928,methodolog,10,raw,methodology
14,5.124101713999928,empathi,10,raw,empathy
15,5.018741198342102,entrepreneur,9,raw,entrepreneurs
16,4.961582784502153,user,34,raw,user
17,4.961582784502153,collabor,17,raw,collaborate
18,4.900958162685718,decision-mak,8,raw,decision-making
19,4.845898385502691,particip,53,raw,participants
20,4.8229966212160065,facilit,37,raw,facilitate
21,4.787629477378715,innov,50,raw,innovation
22,4.767426770061196,queri,7,raw,query
23,4.767426770061196,nikolai,14,raw,nikolai
24,4.767426770061196,robot,7,raw,robot
25,4.693318797907474,interact,13,raw,interact
26,4.640675064422052,web,37,raw,web
27,4.613276090233938,dial,6,raw,dial
28,4.613276090233938,1960,6,raw,1960s
29,4.613276090233938,termin,6,raw,terminating
30,4.613276090233938,global,24,raw,global
31,4.613276090233938,cognit,12,raw,cognitive
32,4.5262647132443075,challeng,22,raw,challenges
33,4.507915574576111,virtual,27,raw,virtual
34,4.430954533439983,franz,10,raw,franz
35,4.430954533439983,research,20,raw,researchers
36,4.430954533439983,chopin,10,raw,chopin
37,4.325594017782157,amazon,9,raw,amazon
38,4.325594017782157,problem-solv,9,raw,problem-solving
39,4.303121161930098,motiv,22,raw,motivations
40,4.287853689799309,expertis,13,raw,expertise
41,4.281029844051316,internet,39,stem,
42,4.207810982125773,commiss,8,raw,commissioned
43,4.207810982125773,audio,8,raw,audio
44,4.207810982125773,turk,20,raw,turk
45,4.120799605136143,connect,11,raw,connect
46,4.102450466467947,templat,18,raw,template
47,4.102450466467947,organiz,18,raw,organizational
48,4.07427958950125,tacit,7,raw,tacit
49,4.07427958950125,walter,7,raw,walters
50,4.07427958950125,focus,7,raw,focuses
51,4.037911945330375,implement,27,raw,implementation
52,4.025489425331818,perspect,10,raw,perspectives
53,3.9846674308115633,citat,16,raw,citation
54,3.974196130944268,educ,19,raw,educators
55,3.9517198560473688,groupwar,36,stem,
56,3.920128909673992,human,6,raw,humanities
57,3.920128909673992,facilit,6,raw,facilitates
58,3.920128909673992,rosen,6,raw,rosen
59,3.920128909673992,environ,12,raw,environments
60,3.894153423270731,compos,38,raw,composers
61,3.877569295255196,solv,23,raw,solving
62,3.86748517618857,media,37,raw,media
63,3.8629704958340434,digit,17,raw,digital
64,3.8511360381870405,capac,14,raw,capacities
65,3.8331175326843625,vs,11,raw,vs
66,3.8023458740176084,indigen,8,raw,indigenous
67,3.8023458740176084,prototyp,8,raw,prototype
68,3.8023458740176084,definit,16,raw,definitions
69,3.8023458740176084,coin,8,raw,coined
70,3.8023458740176084,le,8,raw,les
71,3.775677626935447,design,296,raw,design
72,3.7378073528800373,feedback,10,raw,feedback
73,3.7088198160067853,link,17,raw,links
74,3.7057190383285366,allow,46,raw,allows
75,3.6969853583597825,edit,12,raw,editing
76,3.668814481393086,face-to-fac,7,raw,face-to-face
77,3.668814481393086,robot,7,raw,robots
78,3.668814481393086,nich,7,raw,niche
79,3.668814481393086,implement,7,raw,implementing
80,3.668814481393086,interact,7,raw,interactions
81,3.668814481393086,21st,7,raw,21st
82,3.622435201807965,think,323,raw,thinking
83,3.61644649587577,design,31,raw,designers
84,3.514663801565828,reward,8,raw,rewards
85,3.514663801565828,implement,8,raw,implement
86,3.5146638015658276,deduct,6,raw,deductive
87,3.5146638015658276,advocaci,6,raw,advocacy
88,3.5146638015658276,comput,10,raw,computers
89,3.5146638015658276,research,6,raw,researcher
90,3.5146638015658276,cinema,6,raw,cinema
91,3.4829151032512473,translat,31,raw,translation
92,3.4754430884125465,comput,25,raw,computer
93,3.4706038117717974,critic,111,raw,critical
94,3.427652424576198,diverg,11,raw,divergent
95,3.427652424576198,trait,11,raw,traits
96,3.423692023360101,share,42,raw,sharing
97,3.4185199410129252,learn,109,raw,learning
98,3.4093032859080017,sector,18,raw,sectors
99,3.4093032859080017,agenda,9,raw,agenda
100,3.4093032859080017,intent,9,raw,intentional
101,3.3811324089413053,manag,14,raw,managing
102,3.357034857362245,access,41,raw,access
103,3.350775946460711,technolog,73,raw,technology
104,3.325421801927299,solut,48,raw,solutions
105,3.293099880039474,conferenc,30,stem,
106,3.291520250251618,genet,8,raw,genetic
107,3.291520250251618,platform,8,raw,platforms
108,3.2522995370983367,implicit,20,raw,implicit
109,3.2522995370983367,document,20,raw,document
110,3.226981729114047,orchestr,6,raw,orchestral
111,3.226981729114047,peer,12,raw,peer
112,3.226981729114047,nurs,6,raw,nurses
113,3.226981729114047,bruce,6,raw,bruce
114,3.226981729114047,standard,6,raw,standardized
115,3.226981729114047,contributor,9,raw,contributors
116,3.226981729114047,publish,6,raw,publishes
117,3.226981729114047,matthew,6,raw,matthew
118,3.217931893594129,skill,55,raw,skills
