,Score,Stem,Tf,Type,Word
0,6.62450652522,handyman,46,common,handyman
1,6.62450652522,3d,143,specific,
2,6.62450652522,kludg,46,specific,
3,6.62450652522,diy,51,specific,
4,6.62450652522,bricolag,44,specific,
5,6.48474458285,handymen,20,common,handymen
6,6.28222031873,printer,49,common,printer
7,6.19706251039,oman,15,common,oman
8,6.12806963891,anti,14,common,anti
9,5.79159740229,addit,30,common,additive
10,5.49783362101,softwar,33,specific,
11,5.43492245835,1960,7,common,1960s
12,5.43492245835,model,7,common,modeling
13,5.43492245835,anarchist,7,common,anarchist
14,5.43492245835,citat,7,common,citations
15,5.33123260219,kluge,32,specific,
16,5.28077177852,polym,6,common,polymer
17,5.28077177852,punk,12,common,punk
18,5.28077177852,ham,6,common,hams
19,5.152517443,print,95,common,printing
20,5.09845022173,video,10,common,video
21,4.91612866493,digit,25,common,digital
22,4.74177527779,user,21,common,users
23,4.74177527779,slang,7,common,slang
24,4.71278774091,franchis,17,common,franchise
25,4.58762459796,global,12,common,global
26,4.58762459796,feeder,6,common,feeder
27,4.51863172647,citat,14,common,citation
28,4.50061322097,common,11,common,commons
29,4.4875411394,bend,19,common,bending
30,4.33631016968,deposit,7,common,deposition
31,4.24278411167,manufactur,51,common,manufacturing
32,4.24278411167,fabric,17,common,fabrication
33,4.22298148437,layer,25,common,layer
34,4.18215948985,homeown,6,common,homeowners
35,4.18215948985,evolutionari,8,common,evolutionary
36,4.18215948985,hardwar,22,common,hardware
37,4.18215948985,templat,10,common,template
38,4.18215948985,comput,10,common,computers
39,4.18215948985,mid,6,common,mid
40,4.18215948985,bug,8,common,bug
41,4.16502547046,hackerspac,25,specific,
42,4.11762096871,junk,15,common,junk
43,4.10211678218,comput,24,common,computer
44,4.07679897419,non,18,common,non
45,4.04862809723,user,7,common,user
46,4.04862809723,jargon,7,common,jargon
47,4.01510540519,media,22,common,media
48,3.8944774174,maker,18,common,maker
49,3.85673708942,consum,13,common,consumers
50,3.81925399616,circuit,32,common,circuit
51,3.77669438174,assembl,12,common,assemble
52,3.71215586061,instal,15,common,installation
53,3.67905591218,technolog,52,common,technology
54,3.67133386609,co,6,common,co
55,3.64316298912,terminolog,7,common,terminology
56,3.62877425167,repair,23,common,repair
57,3.60679534495,repair,9,common,repairs
58,3.48901230929,peer,8,common,peer
59,3.48901230929,layer,10,common,layers
60,3.48901230929,web,6,common,web
61,3.38365179363,retriev,9,common,retrieved
62,3.37122927364,resin,8,common,resin
63,3.35181118778,furnitur,34,common,furniture
64,3.33486162947,innov,6,common,innovation
65,3.33486162947,environment,6,common,environmental
66,3.33486162947,usag,12,common,usage
67,3.33202037637,laser,20,specific,
68,3.33202037637,prosum,20,specific,
69,3.28834161383,dimension,9,common,dimensional
70,3.24785025248,fix,11,common,fix
71,3.23769788101,topic,7,common,topic
72,3.20133023684,architectur,6,common,architectural
73,3.19176078582,instruct,26,common,instructions
74,3.18363065974,design,84,common,design
75,3.17055857817,architectur,8,common,architecture
76,3.16541935755,internet,19,specific,
77,3.10854850339,term,54,common,term
78,3.08354720118,format,6,common,format
79,3.08354720118,print,24,common,printed
80,3.08354720118,custom,18,common,customer
81,3.02947997991,consum,24,common,consumer
82,3.02947997991,busi,12,common,businesses
83,2.99653582419,print,11,common,print
84,2.97818668553,ident,6,common,identities
85,2.95838405823,tool,20,common,tools
86,2.95001580856,access,14,common,access
87,2.91364816439,typic,9,common,typically
88,2.91364816439,site,9,common,sites
89,2.90919381404,applic,14,common,applications
90,2.88287650572,band,6,common,bands
91,2.88287650572,poorli,6,common,poorly
92,2.88287650572,space,6,common,spaces
93,2.88042251676,project,37,common,projects
94,2.86997310089,file,7,common,files
95,2.86997310089,globe,7,common,globe
96,2.84823311425,project,49,common,project
97,2.84715842312,corpor,10,common,corporate
98,2.83221731991,onlin,17,specific,
99,2.82976668041,cultur,30,common,culture
100,2.82118293672,self,20,common,self
101,2.79586512873,produc,8,common,producer
102,2.79586512873,ad,11,common,adding
103,2.79586512873,focus,6,common,focused
104,2.79586512873,electron,16,common,electronics
105,2.79586512873,complex,7,common,complexity
106,2.72687225725,network,14,common,network
107,2.71582242106,handi,6,common,handy
108,2.66233373611,pro,7,common,pro
109,2.65610318636,share,10,common,sharing
110,2.64171444891,custom,6,common,custom
111,2.64171444891,publish,6,common,publishing
112,2.64171444891,powder,12,common,powder
113,2.63459698114,sourc,40,common,source
114,2.62401487181,process,24,common,processes
115,2.60662312909,creat,12,common,creating
116,2.5980393854,magazin,16,common,magazine
117,2.58455603507,wire,17,common,wire
118,2.57272157742,found,8,common,founded
119,2.57272157742,improv,16,common,improvement
120,2.55619227547,metal,24,common,metal
121,2.54696908132,use,23,common,uses
122,2.53350086426,improv,15,common,improve
123,2.52760114214,electron,26,common,electronic
124,2.52620156178,compon,21,common,components
125,2.49901528228,edupunk,15,specific,
126,2.49576053628,machin,20,common,machines
127,2.49048347918,maker,7,common,makers
128,2.4704427283,multipl,13,common,multiple
129,2.46736106176,televis,18,common,television
130,2.45939289211,profit,10,common,profit
131,2.44755843446,wider,6,common,wider
132,2.44446724189,creat,19,common,create
133,2.44304375411,devic,13,common,devices
134,2.42814034861,instrument,9,common,instruments
135,2.4243015723,task,10,common,tasks
136,2.39040002062,launch,7,common,launched
137,2.37254240322,part,37,common,parts
138,2.35403237645,design,9,common,designs
139,2.31402704184,articl,21,common,article
140,2.28503950497,solv,6,common,solve
141,2.28503950497,report,6,common,reporter
142,2.28503950497,notabl,6,common,notable
143,2.27598966945,skill,11,common,skills
144,2.26523687767,altern,10,common,alternative
145,2.25224968214,structur,9,common,structures
146,2.2362493408,form,6,common,forming
147,2.2362493408,trend,6,common,trends
148,2.22677059684,open,90,common,open
149,2.21604663348,amateur,7,common,amateur
150,2.20115802099,commonli,8,common,commonly
151,2.18972932516,describ,6,common,describes
152,2.18972932516,earliest,6,common,earliest
153,2.16581324464,greenoman,13,specific,
154,2.15072716736,organ,16,common,organizations
155,2.1498647266,use,38,common,using
156,2.13908559234,scope,7,common,scope
157,2.13317715566,materi,25,common,materials
158,2.12377135737,model,12,common,models
159,2.10271794817,plastic,8,common,plastic
160,2.08964586661,model,19,common,model
161,2.06762662836,solut,7,common,solutions
162,2.0582661856,engin,11,common,engineering
163,2.03675998038,safeti,11,common,safety
164,2.03372507669,skill,7,common,skilled
165,2.0226752405,object,15,common,object
166,2.0226752405,code,9,common,code
167,2.0226752405,releas,6,common,released
168,2.0226752405,object,15,common,objects
169,2.00093525386,articl,7,common,articles
170,1.99921222582,anarch,12,specific,
171,1.99735743251,custom,9,common,customers
172,1.99080003197,concept,19,common,concept
173,1.98830759699,product,33,common,production
174,1.96918655555,museum,7,common,museum
175,1.9679853542,base,26,common,based
176,1.93566386351,wide,11,common,widely
177,1.92777649868,file,17,common,file
178,1.92503677093,environ,9,common,environment
179,1.91347594853,movi,6,common,movie
180,1.89792353553,product,22,common,products
181,1.89711870651,includ,23,common,include
182,1.87957439686,visual,8,common,visual
183,1.8678783571,build,17,common,build
184,1.86715187686,creat,16,common,created
185,1.86304509491,commerci,12,common,commercial
186,1.85488178427,describ,8,common,describe
187,1.82646457154,remov,11,common,remove
188,1.8240045457,featur,7,common,feature
189,1.80725373528,rapid,8,common,rapid
190,1.79441658852,creativ,9,common,creative
191,1.79256301987,learn,11,common,learning
192,1.78426421705,techniqu,18,common,techniques
193,1.78426421705,devic,10,common,device
194,1.76624571155,learn,15,common,learn
195,1.7544112539,mechan,6,common,mechanical
196,1.7544112539,german,15,common,german
197,1.74604300423,focu,7,common,focus
198,1.73981245448,creation,8,common,creation
199,1.73981245448,electr,8,common,electrical
200,1.73725817468,popular,17,common,popular
201,1.72802449873,movement,22,common,movement
202,1.72542371703,patent,6,common,patent
203,1.72135039164,remov,7,common,removal
204,1.72135039164,commun,7,common,communities
205,1.72135039164,produc,14,common,produce
206,1.71594497308,content,9,common,content
207,1.71594497308,exampl,9,common,examples
208,1.69725284006,art,11,common,arts
209,1.69725284006,industri,6,common,industries
210,1.69725284006,via,8,common,via
211,1.6789037014,cultur,9,common,cultural
212,1.6789037014,firm,9,common,firms
213,1.66985386588,clean,6,common,cleaning
214,1.6690819631,music,35,common,music
215,1.66601018818,prosumpt,10,specific,
216,1.66601018818,websit,10,specific,
217,1.65643084554,energi,16,common,energy
218,1.65073282443,error,7,common,errors
219,1.64318561879,definit,6,common,definition
220,1.63841234004,box,11,common,box
221,1.63841234004,independ,11,common,independent
222,1.63271431893,messag,10,common,message
223,1.63271431893,site,10,common,site
224,1.62825996858,refer,7,common,referred
225,1.62579387608,materi,27,common,material
226,1.61721013239,develop,8,common,developing
227,1.61721013239,job,10,common,jobs
228,1.61209503172,process,30,common,process
229,1.60628106186,award,7,common,award
230,1.60194266026,issu,10,common,issues
231,1.59189232441,tool,6,common,tool
232,1.56719971182,musician,6,common,musicians
233,1.56719971182,storag,6,common,storage
234,1.55910250158,pleas,9,common,please
235,1.5568010046,knowledg,21,common,knowledge
236,1.54310216024,mass,14,common,mass
237,1.54310216024,increasingli,6,common,increasingly
238,1.5301987554,tradit,11,common,traditional
239,1.51957166283,grown,6,common,grown
240,1.50801084043,product,12,common,product
241,1.50113796114,membership,10,common,membership
242,1.49940916937,sustain,9,specific,
243,1.49940916937,cad,9,specific,
244,1.4965821446,extens,6,common,extensive
245,1.4965821446,expens,6,common,expensive
246,1.4965821446,sourc,12,common,sources
247,1.48961347529,book,13,common,books
248,1.48367873977,introduc,7,common,introduced
249,1.48303791949,common,30,common,common
250,1.48154426724,potenti,9,common,potential
251,1.48154426724,impact,9,common,impact
252,1.47803856689,mean,17,common,meaning
253,1.47410928875,brain,6,common,brain
254,1.47410928875,onto,8,common,onto
255,1.47410928875,profession,14,common,professional
256,1.45836093178,build,21,common,building
257,1.4575799868,associ,8,common,associated
258,1.4575799868,soft,8,common,soft
259,1.45213038203,trend,6,common,trend
260,1.4284987775,similar,20,common,similar
261,1.42099946344,compani,11,common,companies
262,1.41923267852,machin,13,common,machine
263,1.41923267852,built,13,common,built
264,1.4155409346,equip,21,common,equipment
265,1.40957076761,mainten,8,common,maintenance
266,1.40957076761,liquid,6,common,liquid
267,1.40957076761,aspect,8,common,aspects
268,1.40957076761,resourc,9,common,resources
269,1.38709791176,produc,11,common,produced
270,1.37604807557,complex,11,common,complex
271,1.3744794478,critic,7,common,critical
272,1.36874877309,assembl,6,common,assembly
273,1.36639859575,method,17,common,methods
274,1.35738501444,paint,7,common,painting
275,1.35058146914,use,72,common,used
276,1.3489461458,easier,6,common,easier
277,1.3489461458,relat,12,common,related
278,1.3489461458,distribut,10,common,distribution
279,1.3489461458,convent,6,common,conventional
280,1.33434734637,fashion,8,common,fashion
281,1.33280815055,prototyp,8,specific,
282,1.32952805994,indian,6,common,indian
283,1.31995860892,revolut,8,common,revolution
