,Score,Stem,Tf,Type,Word
0,8.248353796037286,hedon,144,common,hedonism
1,7.60046320706546,utilitarian,226,common,utilitarian
2,7.1286880981713425,epicuru,47,common,epicurus
3,6.775048057927765,bentham,66,common,bentham
4,6.3230629341847076,altruism,21,common,altruism
5,6.1963112285455635,hedonist,37,common,hedonistic
6,5.986590697563495,libertin,15,common,libertine
7,5.843489853922821,hare,13,common,hare
8,5.843489853922821,empathi,13,common,empathy
9,5.676435769259655,populair,11,common,populaire
10,5.613915412278321,le,31,common,les
11,5.58112558945533,menciu,10,common,mencius
12,5.58112558945533,stoic,10,common,stoics
13,5.434522115263454,mill,95,common,mill
14,5.35798203814112,treadmil,8,common,treadmill
15,5.2244506455165975,sentient,14,common,sentient
16,5.2244506455165975,resort,7,common,resorts
17,5.2244506455165975,esperanza,7,common,esperanza
18,5.2003530939375375,pleasur,41,common,pleasures
19,5.166926801378411,happi,152,common,happiness
20,5.0702999656893395,libertin,12,common,libertines
21,5.0702999656893395,friedrich,6,common,friedrich
22,5.0702999656893395,stanford,6,common,stanford
23,5.0702999656893395,anti,6,common,anti
24,4.983288588699709,jamaica,11,common,jamaica
25,4.983288588699709,nietzsch,11,common,nietzsche
26,4.887978408895385,maxim,10,common,maximize
27,4.887978408895385,kant,10,common,kant
28,4.782617893237559,rochest,9,common,rochester
29,4.782617893237559,lucretiu,9,common,lucretius
30,4.782617893237559,judaism,9,common,judaism
31,4.782617893237559,hume,9,common,hume
32,4.664834857581175,montaign,8,common,montaigne
33,4.582596759344202,ethic,70,common,ethics
34,4.559474341923348,intrins,18,common,intrinsic
35,4.531303464956652,hazlitt,7,common,hazlitt
36,4.531303464956652,une,7,common,une
37,4.522044139543855,pleasur,215,common,pleasure
38,4.5023159280834,argu,34,common,argues
39,4.48251330078722,trait,10,common,trait
40,4.48251330078722,confucian,10,common,confucianism
41,4.377152785129394,georg,6,common,georges
42,4.377152785129394,human,27,common,humans
43,4.25936974947301,behaviour,8,common,behaviour
44,4.25936974947301,virtuou,16,common,virtuous
45,4.2287327800111205,util,75,common,utility
46,4.1258383568484875,islam,7,common,islam
47,4.111449619396388,virtu,69,common,virtue
48,4.089470712677613,stamp,9,common,stamps
49,4.077048192679055,paradox,20,common,paradox
50,4.066997856825554,singer,22,common,singer
51,3.9716876770212295,stoic,6,common,stoic
52,3.9716876770212295,unjust,6,common,unjust
53,3.9716876770212295,evolutionari,8,common,evolutionary
54,3.9716876770212295,de,18,common,des
55,3.939938978706649,stuart,31,common,stuart
56,3.8583589917142262,le,25,common,le
57,3.853904641364846,philosoph,16,common,philosophers
58,3.8381562843967068,gratif,7,common,gratification
59,3.8381562843967068,philosoph,28,common,philosopher
60,3.8175369971939714,moral,12,common,morals
61,3.8046335923580634,ed,22,common,ed
62,3.789366120227275,thinker,10,common,thinkers
63,3.7893661202272746,prefer,15,common,preference
64,3.7857331365943305,pearc,28,specific,
65,3.7305256202043413,aristotl,33,common,aristotle
66,3.7203732487403234,freud,14,common,freud
67,3.691727650663359,philosophi,130,common,philosophy
68,3.6840056045694487,propon,9,common,proponents
69,3.6840056045694487,marqui,6,common,marquis
70,3.6840056045694483,oxford,27,common,oxford
71,3.5662225689130653,cambridg,20,common,cambridge
72,3.52985492474219,prefer,9,common,preferences
73,3.5162121483384037,psycholog,52,common,psychological
74,3.466592727964224,ethic,35,common,ethical
75,3.460862053255239,genet,6,common,genetic
76,3.460862053255239,co,6,common,co
77,3.438170642053168,la,61,common,la
78,3.4326911762885426,teach,7,common,teachings
79,3.412071889085807,moral,8,common,morally
80,3.412071889085807,swedish,8,common,swedish
81,3.412071889085807,psycholog,16,common,psychology
82,3.399168484249899,self,44,common,self
83,3.3452318709599567,moral,31,common,morality
84,3.3273306606307163,plato,21,common,plato
85,3.316280824444131,philosoph,27,common,philosophical
86,3.278540496461284,criterion,11,common,criterion
87,3.278540496461284,momentari,6,common,momentary
88,3.278540496461284,sensat,10,common,sensations
89,3.2320204808263915,suffer,42,common,suffering
90,3.1984977887877477,un,12,common,un
91,3.1915291194716544,yang,11,common,yang
92,3.1731799808034578,non,9,common,non
93,3.1607574608049007,motiv,8,common,motivated
94,3.1607574608049007,pour,8,common,pour
95,3.1450091038367614,crisp,7,common,crisp
96,3.1450091038367614,chariti,7,common,charity
97,3.1450091038367614,desir,21,common,desires
98,3.1450091038367614,avoid,7,common,avoidance
99,3.1354396528206108,virtu,13,common,virtues
100,3.124389816634026,sensat,12,common,sensation
101,3.124389816634026,materi,6,common,materialism
102,3.124389816634026,calcul,6,common,calculating
103,3.1160215669635094,motiv,17,common,motives
104,3.1041871093165065,ration,21,common,rational
105,3.0962189396673296,thi,10,common,thy
106,3.084384482020327,pierr,14,common,pierre
107,3.0553969451470744,imper,8,common,imperative
108,3.0553969451470744,care,8,common,caring
109,3.027226068180378,karl,7,common,karl
