,Score,Stem,Tf,Type,Word
0,7.673424631702954,creativ,377,common,creativity
1,6.908818487160864,cognit,39,common,cognitive
2,6.771617365647378,iq,17,common,iq
3,6.336299294389533,handbook,22,common,handbook
4,6.240989114585208,guilford,10,common,guilford
5,6.240989114585208,cerebellum,10,common,cerebellum
6,6.078470185087433,malevol,17,common,malevolent
7,6.017845563270998,fluenci,8,common,fluency
8,5.884314170646475,blend,7,common,blending
9,5.835579762943899,sternberg,34,specific,
10,5.730163490819217,comput,6,common,computational
11,5.282138768292257,diverg,23,common,divergent
12,5.19116699008653,correl,7,common,correlations
13,5.142376825917098,frontal,10,common,frontal
14,5.140333924287298,creativ,163,common,creative
15,5.117059017932808,incub,13,common,incubation
16,5.117059017932808,solv,26,common,solving
17,5.037016310259272,research,12,common,researchers
18,5.037016310259272,lobe,9,common,lobe
19,4.98822614608984,innov,20,common,innovation
20,4.919233274602888,perspect,8,common,perspectives
21,4.919233274602888,expertis,8,common,expertise
22,4.910264604620128,psycholog,37,common,psychology
23,4.813872758945062,intrins,12,common,intrinsic
24,4.631551202151107,organiz,10,common,organizational
25,4.631551202151107,neural,6,common,neural
26,4.610497792953275,intellig,94,common,intelligence
27,4.592330488997826,ed,25,common,ed
28,4.585031186516215,motiv,21,common,motivation
29,4.498019809526585,conceptu,7,common,conceptual
30,4.488450358510434,cambridg,26,common,cambridge
31,4.390389145334219,disord,11,common,disorder
32,4.343869129699327,gardner,6,common,gardner
33,4.343869129699327,trait,9,common,traits
34,4.226086094042943,origin,8,common,originality
35,4.1897184498720685,particip,9,common,participants
36,4.120725578385117,lobe,6,common,lobes
37,4.120725578385117,aggress,12,common,aggression
38,3.987194185760594,theori,21,common,theories
39,3.9384040215911624,support,7,common,supportive
40,3.9384040215911624,non,10,common,non
41,3.938404021591162,domain,9,common,domain
42,3.784253341763904,gener,6,common,generate
43,3.771349936927996,implicit,11,common,implicit
44,3.6361231497182285,degre,17,common,degrees
45,3.6199502904726275,framework,8,common,framework
46,3.4528962058094614,comput,8,common,computer
47,3.4528962058094614,gift,8,common,gifted
48,3.4275783978251715,threshold,9,common,threshold
49,3.4275783978251715,al,15,common,al
50,3.4275783978251715,retriev,6,common,retrieved
51,3.4077757705289917,interact,10,common,interaction
