,Score,Stem,Tf,Type,Word
0,6.8333583105386255,innov,701,raw,innovation
1,6.475255814608708,innov,70,raw,innovators
2,6.303821446734897,copyright,77,stem,
3,6.134329227638115,creativ,448,raw,creativity
4,5.692496475359076,commerci,32,raw,commercialization
5,5.513295045901365,innov,107,raw,innovations
6,5.497596136358261,invent,79,raw,inventive
7,5.46543902472373,cognit,51,raw,cognitive
8,5.404814402907295,behavior,24,raw,behaviors
9,5.317803025917665,citat,22,raw,citations
10,5.22249284611334,invent,80,raw,inventions
11,5.0889614534888175,global,70,raw,global
12,5.059973916615565,fund,17,raw,funding
13,4.9993492947991305,iq,16,raw,iq
14,4.900909221985878,handbook,29,raw,handbook
15,4.880002537166564,organiz,71,raw,organizational
16,4.849817560828167,domain,124,raw,domain
17,4.847799396671929,disrupt,55,raw,disruptive
18,4.71166722234735,mikhail,12,raw,mikhail
19,4.71166722234735,tsar,12,raw,tsar
20,4.71166722234735,supplier,12,raw,suppliers
21,4.699971182584158,technolog,510,raw,technology
22,4.62465584535772,user,44,raw,user
23,4.529345665553395,deriv,10,raw,derivative
24,4.529345665553395,innov,10,raw,innovate
25,4.529345665553395,institut,10,raw,institutes
26,4.460352794066443,research,28,raw,researcher
27,4.423985149895568,fuel,9,raw,fuels
28,4.423985149895568,helicopt,9,raw,helicopter
29,4.423985149895568,cerebellum,9,raw,cerebellum
30,4.423985149895568,worldwid,9,raw,worldwide
31,4.36682673605562,malevol,17,raw,malevolent
32,4.36682673605562,focus,17,raw,focuses
33,4.36682673605562,problem-solv,17,raw,problem-solving
34,4.306202114239185,decision-mak,8,raw,decision-making
35,4.306202114239185,hick,8,raw,hicks
36,4.306202114239185,hydraul,8,raw,hydraulic
37,4.306202114239185,uk,8,raw,uk
38,4.306202114239185,artifact,8,raw,artifacts
39,4.306202114239185,comput,8,raw,computational
40,4.306202114239185,fluenci,8,raw,fluency
41,4.306202114239185,guilford,8,raw,guilford
42,4.300504093124547,empir,175,raw,empire
43,4.2636424998203895,eric,23,raw,eric
44,4.254908819851634,dynasti,38,raw,dynasty
45,4.241663593101614,research,30,raw,researchers
46,4.228240572769473,citat,37,raw,citation
47,4.172670721614662,milan,7,raw,milan
48,4.172670721614662,blend,7,raw,blending
49,4.172670721614662,ascent,7,raw,ascent
50,4.172670721614662,gender,14,raw,gender
51,4.14368318474141,templat,34,raw,template
52,4.07258726305768,expertis,19,raw,expertise
53,4.059342036307659,millennium,25,raw,millennium
54,4.059342036307659,inventor,25,raw,inventors
55,4.054887685958279,paradox,56,raw,paradox
56,4.045919015975518,digit,37,raw,digital
57,4.045919015975518,user,37,raw,users
58,4.036869180455601,technolog,110,raw,technological
59,4.031259067564834,invent,79,raw,invented
60,4.018520041787404,deploy,6,raw,deployment
61,4.018520041787404,norm,6,raw,normative
62,4.018520041787404,renew,6,raw,renewable
63,4.018520041787404,algorithm,6,raw,algorithm
64,4.018520041787404,video,12,raw,video
65,4.018520041787404,option,6,raw,options
66,4.018520041787404,weld,12,raw,welding
67,4.018520041787404,gunpowd,12,raw,gunpowder
68,4.018520041787404,lath,6,raw,lathe
69,4.018520041787404,methodolog,6,raw,methodology
70,4.018520041787404,fleisher,6,raw,fleisher
71,4.018520041787404,critiqu,6,raw,critique
72,4.018520041787404,floppi,6,raw,floppy
73,4.018520041787404,implant,6,raw,implant
74,3.9846184901117225,forum,58,raw,forum
75,3.9730576677106466,sustain,86,raw,sustained
76,3.9613616279474555,disrupt,17,raw,disruption
77,3.865757287234994,invent,103,raw,invention
78,3.83619848499345,ecolog,10,raw,ecological
79,3.83619848499345,finland,10,raw,finland
80,3.83619848499345,power,10,raw,powered
81,3.8361984849934494,agenda,25,raw,agenda
82,3.8108806770091594,hypothet,39,raw,hypothetical
83,3.764285903403163,creativ,228,raw,creative
84,3.7491871080038197,diffus,110,raw,diffusion
85,3.730837969335623,der,9,raw,der
86,3.730837969335623,interact,9,raw,interact
87,3.6234177207147864,intellig,194,raw,intelligence
88,3.6130549336792397,conceptu,16,raw,conceptual
89,3.6130549336792397,autom,8,raw,automated
90,3.6130549336792397,intrins,20,raw,intrinsic
91,3.6130549336792397,incub,16,raw,incubation
92,3.6130549336792397,enlighten,8,raw,enlightenment
93,3.570495319260444,diverg,23,raw,divergent
94,3.561761639291689,virtual,19,raw,virtual
95,3.5485164125416686,exploratori,15,raw,exploratory
96,3.5485164125416686,solv,30,raw,solving
97,3.5485164125416686,verif,15,raw,verification
98,3.538946961525518,environment,26,raw,environmental
99,3.52604355668961,perspect,11,raw,perspectives
100,3.5076944180214134,retriev,36,raw,retrieved
101,3.4795235410547174,evolutionari,14,raw,evolutionary
102,3.4795235410547174,nikolai,7,raw,nikolai
103,3.4795235410547174,web,21,raw,web
104,3.461505035552039,network,55,raw,networks
105,3.4589042538519816,particip,24,raw,participants
106,3.4505360041814646,needham,17,raw,needham
107,3.4460008490160736,media,44,raw,media
108,3.4307333768852852,frontal,10,raw,frontal
109,3.4307333768852852,implement,10,raw,implementing
110,3.4307333768852852,portal,10,raw,portal
111,3.4307333768852852,trademark,10,raw,trademark
112,3.38991138236503,comput,16,raw,computers
113,3.38991138236503,emerg,48,raw,emerging
114,3.371892876862352,world,22,raw,worlds
115,3.325372861227459,displac,6,raw,displaced
116,3.325372861227459,competit,93,raw,competitive
117,3.325372861227459,supervisori,6,raw,supervisory
118,3.325372861227459,inclus,12,raw,inclusive
119,3.325372861227459,implement,24,raw,implementation
120,3.325372861227459,dynam,12,raw,dynamics
121,3.325372861227459,mainstream,6,raw,mainstream
122,3.325372861227459,silicon,6,raw,silicon
