,Score,Stem,Tf,Type,Word
0,7.68192261578,refer,11.0,common,referent
1,7.07578681221,hindu,6.0,common,hindus
2,6.53679031148,ecolog,7.0,common,ecological
3,6.48800014731,hygien,10.0,common,hygiene
4,6.38263963165,hinduism,6.0,common,hinduism
5,5.61735492292,secur,127.0,common,security
6,4.91630256285,comput,9.0,common,computer
7,4.81402371373,norm,15.0,common,norms
8,4.59088016242,refer,9.0,common,refers
9,4.59088016242,puriti,6.0,common,purity
10,4.52188729093,bath,7.0,common,bathing
11,4.13134783304,corpor,6.0,common,corporate
12,4.07100470313,clean,11.0,common,cleaning
13,3.82541232028,environ,10.0,common,environment
14,3.82250956062,clean,16.0,common,clean
15,3.72005180462,extern,9.0,common,external
16,3.48190508672,statu,16.0,common,status
17,3.40015258484,group,19.0,common,groups
18,3.29509980884,social,52.0,common,social
19,3.2045858013,pure,7.0,common,pure
20,3.13226513972,system,15.0,common,systems
21,3.10549489866,exampl,6.0,common,examples
22,3.06845362698,cultur,6.0,common,cultural
23,3.00271964843,valu,19.0,common,values
24,2.93947805089,individu,7.0,common,individuals
25,2.74505347192,presenc,6.0,common,presence
26,2.53249202994,order,24.0,common,order
27,2.49081933354,food,9.0,common,food
28,2.44048688477,exampl,17.0,common,example
29,2.4362151995,physic,8.0,common,physical
30,2.42755713676,person,10.0,common,person
31,2.37790722812,freedom,7.0,common,freedom
32,2.33958836381,qualiti,6.0,common,quality
33,2.14853312705,class,9.0,common,class
34,2.11855229484,societi,10.0,common,society
35,2.06515151811,forc,7.0,common,forces
36,1.93412325571,includ,6.0,common,including
37,1.89239941233,system,14.0,common,system
38,1.88282996132,group,13.0,common,group
39,1.7534739401,individu,7.0,common,individual
40,1.74791064342,usual,6.0,common,usually
41,1.74467962284,mean,9.0,common,means
42,1.66861504075,control,6.0,common,control
43,1.59514788887,chang,6.0,common,change
44,1.5286581476,power,8.0,common,power
45,1.51126640489,church,8.0,common,church
46,1.48693430423,differ,7.0,common,different
47,1.40246354504,action,6.0,common,action
48,1.37534323882,human,6.0,common,human
49,1.30301146607,nation,7.0,common,national
50,1.25037684943,peopl,15.0,common,people
51,0.988598947509,state,11.0,common,state
52,0.925488689613,home,7.0,common,home
53,0.660689853037,use,6.0,common,used
54,0.63324664574,sinc,6.0,common,since
