,Score,Stem,Tf,Type,Word
0,7.449825811684525,renew,249,raw,renewable
1,6.475667697489821,ecolog,188,raw,ecological
2,6.468805299228781,sustain,1307,raw,sustain
3,6.3179646160581955,environment,562,raw,environmental
4,6.014138695235058,global,237,raw,global
5,5.939706100452288,fuel,55,raw,fuels
6,5.864198547944143,programm,51,raw,programmes
7,5.864198547944143,extinct,51,raw,extinct
8,5.782520516929876,extinct,141,raw,extinction
9,5.645944981924125,worldwid,41,raw,worldwide
10,5.583031156513556,greenhous,77,raw,greenhouse
11,5.322396996283848,pollut,178,raw,pollution
12,5.299668745206291,ethanol,29,raw,ethanol
13,5.151248740088018,dioxid,50,raw,dioxide
14,5.151248740088018,uk,25,raw,uk
15,5.110426745567763,overpopul,48,raw,overpopulation
16,5.110426745567763,resili,24,raw,resilience
17,5.067867131148967,global,23,raw,globally
18,5.023415368578133,mitig,22,raw,mitigation
19,5.023415368578133,turbin,22,raw,turbines
20,5.000425850353435,degrad,43,raw,degradation
21,4.960895011596799,certif,62,raw,certification
22,4.944634490725019,impact,61,raw,impacts
23,4.9281051887738085,citat,20,raw,citations
24,4.765586259276033,implement,17,raw,implemented
25,4.765586259276033,annex,17,raw,annex
26,4.717384157458156,citat,81,raw,citation
27,4.704961637459599,emit,16,raw,emit
28,4.640423116322028,1970,15,raw,1970s
29,4.640423116322028,forestri,15,raw,forestry
30,4.632988137834509,resourc,134,raw,resource
31,4.606521564646346,solar,232,raw,solar
32,4.586934431371041,emiss,455,raw,emission
33,4.571430244835076,hybrid,14,raw,hybrid
34,4.557041507382976,co,69,raw,co
35,4.497322272681354,pesticid,13,raw,pesticides
36,4.497322272681354,protocol,39,raw,protocol
37,4.497322272681354,certif,13,raw,certificates
38,4.497322272681354,household,26,raw,households
39,4.4973222726813535,world,91,raw,worlds
40,4.481818086145389,carbon,384,raw,carbon
41,4.417279565007818,toxic,36,raw,toxic
42,4.417279565007818,option,12,raw,options
43,4.417279565007818,tidal,12,raw,tidal
44,4.389108688041121,portal,35,raw,portal
45,4.330268188018188,leakag,11,raw,leakage
46,4.330268188018188,deploy,11,raw,deployment
47,4.330268188018188,methodolog,11,raw,methodology
48,4.330268188018188,small-scal,11,raw,small-scale
49,4.234958008213863,advoc,10,raw,advocates
50,4.234958008213863,commerci,10,raw,commercialization
51,4.234958008213863,landscap,10,raw,landscaping
52,4.234958008213863,fund,10,raw,funding
53,4.234958008213863,melbourn,10,raw,melbourne
54,4.234958008213863,mac,10,raw,mac
55,4.129597492556037,recognis,9,raw,recognised
56,4.129597492556037,endang,9,raw,endangered
57,4.129597492556037,inequ,9,raw,inequality
58,4.129597492556037,decentr,9,raw,decentralization
59,4.09185716457319,zealand,26,raw,zealand
60,4.042586115566407,reduct,33,raw,reductions
61,4.011814456899653,resettl,8,raw,resettlement
62,4.011814456899653,harvest,8,raw,harvested
63,4.011814456899653,scenario,8,raw,scenario
64,4.011814456899653,stewardship,8,raw,stewardship
65,4.011814456899653,1960,8,raw,1960s
66,4.011814456899653,leverag,8,raw,leverage
67,4.011814456899653,urban,16,raw,urbanism
68,4.011814456899653,nigeria,8,raw,nigeria
69,3.9864966489153635,hazard,39,raw,hazardous
70,3.9587924262012035,geotherm,64,stem,
71,3.947275935762082,toilet,30,raw,toilets
72,3.9377064847459313,cradl,52,raw,cradle
73,3.9248030799100238,system,22,raw,systemic
74,3.886188243782244,consumpt,127,raw,consumption
75,3.8782830642751307,mitig,7,raw,mitigate
76,3.8782830642751307,runoff,14,raw,runoff
77,3.8782830642751307,encompass,7,raw,encompasses
78,3.8782830642751307,comput,7,raw,computational
79,3.8782830642751307,agenda,35,raw,agenda
80,3.8782830642751307,guidelin,7,raw,guidelines
81,3.8419154201042556,challeng,27,raw,challenges
82,3.8350801628824165,fossil,62,stem,
83,3.8294929001056985,domain,20,raw,domains
84,3.821124650435182,technolog,119,raw,technological
85,3.8111437614375023,sanit,72,raw,sanitation
86,3.804175092121409,centr,13,raw,centre
87,3.768026578005098,climat,163,raw,climate
88,3.7536911866894167,energi,618,raw,energy
89,3.724132384447872,oxid,6,raw,oxides
90,3.724132384447872,lerner,6,raw,lerner
91,3.724132384447872,irrig,18,raw,irrigation
92,3.724132384447872,model,6,raw,modeling
93,3.724132384447872,reproduct,6,raw,reproductive
94,3.724132384447872,offset,6,raw,offsetting
95,3.724132384447872,genet,30,raw,genetic
96,3.724132384447872,interconnect,6,raw,interconnected
