,Score,Stem,Tf,Type,Word
0,7.258383006253826,egalitarian,57,common,egalitarianism
1,6.7416922630354374,univers,51,common,universality
2,6.653916652153052,environment,109,common,environmental
3,6.4734282764407585,feminist,13,common,feminist
4,6.211064011973267,bah,10,common,bah
5,6.048545082475492,hinduism,17,common,hinduism
6,5.9879204606590575,allah,8,common,allah
7,5.923381939521486,gender,15,common,gender
8,5.900909083669428,islam,22,common,islam
9,5.780281095880813,ecolog,13,common,ecological
10,5.780281095880813,judaism,13,common,judaism
11,5.700238388207277,reconcili,6,common,reconciliation
12,5.3748159877726485,hindu,13,common,hindu
13,5.207761903109483,portal,11,common,portal
14,5.207761903109483,islam,11,common,islamic
15,5.207761903109483,pollut,22,common,pollution
16,5.161241887474589,equal,42,common,equality
17,5.161241887474589,distribut,7,common,distributive
18,5.112451723305158,muslim,10,common,muslim
19,5.087133915320868,global,13,common,global
20,5.071629728784902,liber,16,common,liberation
21,4.93809833616038,citat,14,common,citation
22,4.755776779366426,perspect,7,common,perspectives
23,4.601626099539167,zealand,6,common,zealand
24,4.468094706914644,labour,7,common,labour
25,4.393986734760922,unitarian,13,common,unitarian
26,4.385402991069531,religion,29,common,religions
27,4.313944027087386,teach,9,common,teachings
28,4.287968540684125,conserv,19,common,conservation
29,4.244951155600434,non,14,common,non
30,4.226932650097757,marx,11,common,marx
31,4.226932650097757,brazil,11,common,brazil
32,4.218633847283061,australia,15,common,australia
33,4.144867697043452,liber,19,common,liberalism
34,4.117570716837781,environ,53,common,environment
35,4.099534155741931,theolog,23,common,theology
36,4.090800475773176,templat,6,common,template
37,4.070120270535638,justic,134,common,justice
38,3.9084789189792217,agreement,15,common,agreements
39,3.7906958833228384,human,8,common,humans
40,3.732022481637665,protect,57,common,protection
41,3.6422109410312573,right,59,common,rights
42,3.5518039750404893,topic,7,common,topics
43,3.5030138108710576,resourc,6,common,resource
44,3.4776960028867676,social,13,common,socialism
45,3.4564937952361645,teach,7,common,teaches
46,3.3976532952132312,retriev,6,common,retrieved
47,3.369482418246535,switzerland,7,common,switzerland
48,3.3619352126111517,mexico,11,common,mexico
49,3.3206922540771027,univers,25,common,universal
50,3.302343115408906,mill,6,common,mill
51,3.289439710572998,ministri,7,common,ministry
52,3.2153317384192763,20th,6,common,20th
53,3.1825419155962855,christian,15,common,christianity
54,3.13528903074574,divers,6,common,diversity
55,3.10997122276145,plato,9,common,plato
56,3.0497120312432533,social,161,common,social
57,3.039441071955612,protect,13,common,protected
58,3.021175723978319,progress,7,common,progressive
59,2.9276496659674955,declar,9,common,declaration
60,2.9276496659674955,injustic,6,common,injustice
61,2.9099500888680945,ethic,7,common,ethics
62,2.809866630311112,issu,22,common,issues
63,2.729823922637576,perspect,8,common,perspective
64,2.718894852105385,liber,21,common,liberal
65,2.718894852105385,belief,7,common,beliefs
66,2.704506114653286,reform,9,common,reform
67,2.6903214796613293,principl,21,common,principles
68,2.6701046879359533,china,20,common,china
69,2.6447868799516634,doctrin,13,common,doctrine
70,2.6232806747307,movement,13,common,movements
71,2.6091959348489606,voluntari,6,common,voluntary
72,2.596292530013053,philosoph,7,common,philosophical
73,2.586723078996902,citizen,8,common,citizen
74,2.5441634645781064,equal,23,common,equal
75,2.5416026437164327,view,13,common,views
76,2.5221845578593314,human,7,common,humanity
77,2.4997117020072723,februari,11,common,february
78,2.481362563339076,al,6,common,al
79,2.481362563339076,latin,12,common,latin
80,2.4777327952884973,liberti,11,common,liberty
81,2.473394393689899,cathol,20,common,catholic
82,2.420401863549389,articl,7,common,articles
83,2.4044015222029476,scholar,6,common,scholars
84,2.4044015222029476,christian,32,common,christian
85,2.4044015222029476,concept,6,common,concepts
86,2.377002548014833,speci,8,common,species
87,2.3522855210639335,movement,27,common,movement
88,2.3455610221800143,health,22,common,health
89,2.344503380621879,philosophi,18,common,philosophy
90,2.3329425582208025,argu,6,common,argued
91,2.319947691364435,moral,29,common,moral
92,2.3145451930810865,toward,13,common,towards
93,2.2990410065451212,notion,8,common,notion
94,2.2990410065451212,improv,8,common,improvement
95,2.2990410065451212,cultur,11,common,cultural
96,2.2770620998263458,legisl,9,common,legislation
97,2.2684783561349544,human,58,common,human
98,2.2662511837221304,conserv,6,common,conservative
99,2.2502508423756895,jesu,12,common,jesus
100,2.2470812676144103,term,15,common,term
101,2.245931181231173,india,11,common,india
102,2.238416384728686,concept,16,common,concept
103,2.23450248540755,promot,6,common,promote
104,2.23450248540755,salvat,6,common,salvation
105,2.232349632046449,intern,29,common,international
106,2.220397879226008,religion,22,common,religion
107,2.216802908308149,definit,7,common,definition
108,2.196762157424703,legal,13,common,legal
109,2.1908274219048884,improv,7,common,improve
110,2.1841607305466995,theori,23,common,theory
111,2.165509613920599,pope,7,common,pope
112,2.1592790641699624,polit,12,common,politics
113,2.1408170013302272,commun,7,common,communities
114,2.1365220770473465,thoma,17,common,thomas
115,2.1167194497511668,region,7,common,regional
116,2.1167194497511668,be,6,common,beings
117,2.1167194497511668,resourc,12,common,resources
118,2.0758974552309115,fundament,8,common,fundamental
119,2.062652228480891,regardless,6,common,regardless
120,2.060629983100123,religi,26,common,religious
121,2.0560948279347318,octob,8,common,october
122,2.0366767420776304,develop,8,common,developing
123,2.026693298093447,countri,23,common,countries
124,2.019727183763857,base,18,common,based
125,2.0042414663244763,soul,7,common,soul
126,1.9957668393335042,societi,35,common,society
127,1.99482963214213,govern,9,common,governments
128,1.9813781018814045,god,46,common,god
129,1.9676838705906787,women,28,common,women
130,1.9625687699239085,constitut,7,common,constitution
131,1.948384134931952,uniti,10,common,unity
132,1.9448691928245074,good,8,common,goods
133,1.9274774501126384,anim,8,common,animals
134,1.9119250371051535,econom,33,common,economic
135,1.9119250371051535,creat,11,common,created
136,1.9069989187690974,faith,15,common,faith
137,1.9031453494531076,role,14,common,role
138,1.9010108769244751,impact,9,common,impact
139,1.8935758984369568,africa,6,common,africa
140,1.8840971544824132,neg,7,common,negative
141,1.8770465964857463,european,8,common,european
142,1.8770465964857463,de,16,common,de
143,1.8715969917181816,violenc,6,common,violence
144,1.8654050214702604,jew,7,common,jews
145,1.8500907864972183,practic,12,common,practice
146,1.8386992882111228,council,13,common,council
147,1.8201484298821398,poor,14,common,poor
148,1.805566112209317,sustain,11,specific,
149,1.8016384031112713,jewish,9,common,jewish
150,1.7955146852607422,manag,11,common,management
151,1.7882153827791307,group,15,common,groups
152,1.7684127554829507,achiev,6,common,achieve
153,1.7489946696258494,natur,18,common,natural
154,1.7435152038612236,organ,7,common,organizations
155,1.7316632132742096,christ,11,common,christ
156,1.7112543416430024,interpret,6,common,interpretation
157,1.6974610195106665,individu,8,common,individuals
158,1.6955059846748632,freedom,14,common,freedom
159,1.6955059846748632,spiritu,7,common,spiritual
160,1.6955059846748632,belief,7,common,belief
161,1.6748866974721275,accord,15,common,according
162,1.6716452035479565,origin,11,common,original
163,1.6544208668798364,john,38,common,john
164,1.6397953776608574,remov,6,common,remove
165,1.6363530334698846,america,20,common,america
166,1.6348813628584282,polici,7,common,policies
167,1.6312116339694658,tradit,8,common,traditional
168,1.6283666818372344,sourc,9,common,sources
169,1.6260965333026953,institut,10,common,institutions
170,1.6227009443015572,respons,12,common,responsibility
171,1.605893825985176,contract,6,common,contract
172,1.5917091909932197,respons,7,common,responsible
173,1.5769062891119237,nation,17,common,nations
174,1.5731040031621852,agenc,6,common,agencies
175,1.5624087140454372,park,9,common,park
176,1.541355304847605,messag,6,common,message
177,1.5289327848490475,establish,10,common,established
178,1.5159455893222364,view,17,common,view
179,1.5079134176249722,nation,34,common,national
180,1.4955457688163107,refer,6,common,reference
181,1.4955457688163107,teach,6,common,teaching
182,1.4941898364051747,approach,11,common,approach
183,1.4910135499867538,polit,23,common,political
184,1.4849412155675135,differ,7,common,differences
185,1.48073068303117,articl,6,common,article
186,1.4709745080858054,studi,9,common,studies
187,1.462187105319001,press,11,common,press
188,1.4235722691912214,learn,7,common,learn
189,1.4235722691912214,sex,7,common,sex
190,1.4143556140862974,principl,9,common,principle
191,1.4000417717810274,citizen,7,common,citizens
192,1.396173295003107,polici,18,common,policy
193,1.3770522535563285,key,7,common,key
194,1.3747821050217894,truth,10,common,truth
195,1.3681209646550072,unit,38,common,united
196,1.365752698302395,develop,7,common,develop
197,1.364255692034802,natur,15,common,nature
198,1.3531914724294218,machin,8,common,machine
199,1.3521133052090764,church,27,common,church
200,1.343529561517685,fair,6,common,fair
201,1.313138990697685,ecosystem,8,specific,
202,1.3005121764339942,hell,7,common,hell
203,1.2753917563504669,develop,24,common,development
204,1.269421589363963,broad,6,common,broad
205,1.260532641946717,includ,8,common,include
206,1.2575871317169602,rule,6,common,rules
207,1.2552369543720066,due,10,common,due
208,1.2525577833119583,law,21,common,law
209,1.24821938171336,idea,10,common,ideas
210,1.234330269552693,person,12,common,person
211,1.22290157372907,relationship,6,common,relationship
212,1.2087969675475283,main,8,common,main
213,1.2087969675475283,decis,8,common,decision
214,1.1851612457462233,modern,13,common,modern
215,1.1647106352749323,basic,11,common,basic
216,1.1630411858053913,democrat,7,common,democratic
217,1.1489966168604744,biodivers,7,specific,
218,1.1489966168604744,programm,7,specific,
219,1.1437333742004663,form,8,common,forms
220,1.1400655681499212,individu,15,common,individual
221,1.1358901967394406,book,6,common,books
222,1.1358901967394406,organ,8,common,organization
223,1.1181906196400395,qualiti,7,common,quality
224,1.1101818400292334,book,12,common,book
225,1.109456939671285,specif,7,common,specific
226,1.109456939671285,activ,7,common,activities
227,1.1074522614189068,educ,13,common,education
228,1.1007988769281705,green,7,common,green
229,1.097571332437304,literatur,8,common,literature
230,1.0900806607081464,state,36,common,states
231,1.0884236595005166,work,9,common,working
232,1.0837044435688703,europ,7,common,europe
233,1.0752655749230056,popul,8,common,population
234,1.0752655749230056,need,11,common,needed
235,1.0694004554706074,includ,10,common,including
236,1.066897325252489,progress,7,common,progress
237,1.0655093999776408,race,6,common,race
238,1.0649384607671561,exampl,17,common,example
239,1.0585985224377938,understand,7,common,understanding
240,1.055847489065904,current,6,common,current
241,1.0333746332138454,idea,11,common,idea
242,1.032093403057797,level,12,common,level
243,1.0250758303991503,histori,16,common,history
244,1.0169258260372258,peopl,47,common,people
245,1.0095964714151484,area,13,common,areas
246,1.008890505978133,languag,6,common,language
247,0.9997580224148604,central,9,common,central
248,0.9907081868949427,product,8,common,production
249,0.9736553985122233,centuri,11,common,century
250,0.9640399398127814,list,7,common,list
251,0.9466481971009121,activ,6,common,activity
252,0.944495343739811,growth,8,common,growth
253,0.9403981767557407,univers,11,common,university
254,0.9380644534095205,properti,8,common,property
255,0.9291301246757547,world,40,common,world
256,0.9199151349038432,french,7,common,french
257,0.8719246509049755,wide,6,common,wide
258,0.8571767942704199,william,7,common,william
259,0.8327039377516943,seri,6,common,series
260,0.7802574623791517,western,6,common,western
261,0.768646301451474,commun,10,common,community
262,0.7667927328021509,care,7,common,care
263,0.7657644550765849,servic,6,common,services
264,0.7373937579473694,industri,6,common,industrial
265,0.7356470326124277,privat,8,common,private
266,0.7166317664989404,particularli,6,common,particularly
267,0.705208092179911,men,31,common,men
268,0.689603094111021,believ,8,common,believe
269,0.6829585513923523,consid,6,common,considered
270,0.6763578673610002,need,6,common,needs
271,0.6632857857936476,true,9,common,true
272,0.6614322171443247,support,7,common,support
273,0.6449029151931139,earli,14,common,early
274,0.6439925828589685,rang,6,common,range
275,0.6064881874005144,term,6,common,terms
276,0.6003719603830783,becam,9,common,became
277,0.5963151596874638,major,9,common,major
278,0.5897577591413048,follow,8,common,following
279,0.5810476875566754,govern,15,common,government
280,0.5807486891989388,common,8,common,common
281,0.5711853392965465,use,21,common,use
282,0.562970443177655,age,8,common,age
283,0.5560717014864984,say,7,common,says
284,0.5240886556334475,live,6,common,live
285,0.5072815373170663,south,8,common,south
286,0.4936493885270086,thought,17,common,thought
287,0.479882563128952,among,12,common,among
288,0.47325178873075496,state,26,common,state
289,0.468060824163785,differ,10,common,different
290,0.4637964253773275,greater,6,common,greater
291,0.4584913731476342,section,6,common,section
292,0.4472172965744162,control,7,common,control
293,0.44665691550063147,make,8,common,making
294,0.43884437576383784,air,8,common,air
295,0.430320496180938,area,10,common,area
296,0.4230518032893134,within,11,common,within
297,0.4019210216592401,valu,6,common,value
298,0.396933480148201,variou,6,common,various
299,0.3919706908060719,strong,6,common,strong
300,0.3772284090688686,therefor,6,common,therefore
301,0.3767850483876978,order,11,common,order
302,0.36751959494190767,class,6,common,class
303,0.3627003085059587,system,12,common,system
304,0.3531308574898081,known,7,common,known
305,0.34247356301582005,act,8,common,act
306,0.3249599805231117,provid,6,common,provide
307,0.30207568668952395,sometim,6,common,sometimes
308,0.2975610063349973,free,7,common,free
309,0.2784399648882189,held,7,common,held
310,0.2634020875236784,shall,7,common,shall
311,0.25967768843269584,inform,7,common,information
312,0.2545791837613123,whole,8,common,whole
313,0.24812754847982346,help,8,common,help
314,0.2412609616464648,word,7,common,word
315,0.233988202317385,howev,14,common,however
316,0.22415528140114616,public,11,common,public
