,Score,Stem,Tf,Type,Word
0,5.590074073027874,labour,232,common,labour
1,5.145043364713518,autom,223,common,automation
2,4.7877276005029366,organiz,130,common,organizational
3,4.62067351583977,citat,110,common,citation
4,4.302219784721236,global,64,common,global
5,4.278503258103919,mobil,125,common,mobility
6,4.144590840517653,robot,41,common,robots
7,4.13970085522346,ascrib,68,common,ascribed
8,4.094580419942991,marx,104,common,marx
9,4.04193668645757,overtim,37,common,overtime
10,4.04193668645757,portal,37,common,portal
11,4.014537712269455,cast,36,common,caste
12,3.9934843030716225,feedback,47,common,feedback
13,3.9573792984295064,behaviour,34,common,behaviour
14,3.9573792984295064,marxist,34,common,marxist
15,3.9012090269624515,hr,75,common,hr
16,3.8967546766130714,socioeconom,32,common,socioeconomic
17,3.890485063599476,advisor,53,common,advisors
18,3.865005978298491,reproduct,62,common,reproduction
19,3.848745457426711,capitalist,61,common,capitalist
20,3.843265991662085,hierarchi,91,common,hierarchy
21,3.8322161554755003,interact,30,common,interactions
22,3.8322161554755,research,40,common,researchers
23,3.8322161554755,affili,40,common,affiliation
24,3.803228618602248,psycholog,136,common,psychology
25,3.689115311834827,trait,26,common,trait
26,3.6578627683307223,rank,42,common,ranking
27,3.620372159415224,motiv,89,common,motivation
28,3.6090726041612906,conceptu,32,common,conceptual
29,3.562412522695228,capit,649,common,capital
30,3.538455036947337,accumul,82,common,accumulation
31,3.5361658333532024,orient,119,common,orientation
32,3.5220612271716605,attain,66,common,attainment
33,3.475541211536768,control,21,common,controllers
34,3.462469129969415,occup,76,common,occupational
35,3.3701806958789415,non,63,common,non
36,3.3658422942803434,domin,69,common,dominance
37,3.3598568125373056,econom,106,common,economics
38,3.3213905317095094,wealth,132,common,wealth
39,3.3213905317095094,subordin,36,common,subordinate
40,3.3213905317095094,rank,24,common,ranked
41,3.299116262346161,cognit,55,specific,
42,3.2788309172907137,environ,23,common,environments
43,3.264232117869561,occup,17,common,occupations
44,3.264232117869561,resourc,51,common,resource
45,3.264232117869561,kinship,17,common,kinship
46,3.139068974915555,proletariat,15,common,proletariat
47,3.139068974915555,asset,25,common,asset
48,3.0700761034286037,perspect,14,common,perspectives
49,3.0700761034286037,interperson,14,common,interpersonal
50,3.0700761034286037,coeffici,14,common,coefficient
51,3.0700761034286037,cue,14,common,cues
