,Score,Stem,Tf,Type,Word
0,5.092018355982984,repent,129,common,repent
1,4.7118129146340575,compass,147,common,compassion
2,4.648634013012526,forgiv,414,common,forgiveness
3,4.62665510629375,offend,81,common,offended
4,4.549694065157622,pardon,200,common,pardon
5,4.392732420724713,ethic,406,common,ethics
6,4.292648962167731,islam,58,common,islam
7,4.2211899981855865,decept,72,common,deceptive
8,4.2024978651734335,utilitarian,53,common,utilitarian
9,4.140220935651919,citat,83,common,citation
10,4.103406962529203,non,160,common,non
11,3.9148157927216527,evolutionari,53,common,evolutionary
12,3.9148157927216527,uncondit,53,common,unconditional
13,3.7875540131107255,islam,35,common,islamic
14,3.758566476237473,epistemolog,34,common,epistemology
15,3.728713513087792,loyalti,33,common,loyalties
16,3.7287135130877918,jealousi,44,common,jealousy
17,3.6979418544210385,satan,32,common,satan
18,3.5644104617965158,behaviour,28,common,behaviour
19,3.505569961773582,templat,44,common,template
20,3.4510817764895125,cumberland,25,common,cumberland
21,3.4510817764895125,interperson,25,common,interpersonal
22,3.441031440636011,theori,165,common,theories
23,3.4240531041015934,philosoph,73,common,philosophers
24,3.3738921377983826,particip,54,common,participants
25,3.3677001675504616,hindu,23,common,hindu
26,3.3405798613312676,self,291,common,self
27,3.3322982404995454,cicero,37,common,cicero
28,3.3232484049796276,goddess,22,common,goddess
29,3.3068814275154224,psycholog,101,common,psychology
30,3.2767283893447345,truth,28,common,truths
31,3.2767283893447345,human,63,common,humans
32,3.24036074517386,pragmat,27,common,pragmatic
33,3.235055692944167,descript,47,common,descriptive
34,3.1766449307877522,liar,19,common,liar
35,3.1553675323404673,norm,62,common,norm
36,3.1225777095174765,precept,18,common,precepts
37,3.1225777095174765,jurisprud,18,common,jurisprudence
38,3.1225777095174765,jealou,24,common,jealous
39,3.103885576505324,obedi,53,common,obedience
40,3.088676157841795,kind,29,common,kindness
41,3.0800180950986804,augustin,23,common,augustine
42,3.0654192956775277,luke,17,common,luke
43,3.053584838030525,intrins,28,common,intrinsic
44,3.035566332527847,retriev,55,common,retrieved
45,3.035566332527847,fair,33,common,fairness
46,3.0355663325278464,research,22,common,researchers
47,3.006947527222194,ethic,155,common,ethical
48,3.004794673861093,violat,16,common,violations
49,2.9890463168929537,plato,105,common,plato
50,2.9890463168929537,benevol,21,common,benevolence
51,2.9890463168929537,coke,21,common,coke
52,2.940256152723522,cue,15,common,cues
53,2.940256152723522,perspect,15,common,perspectives
54,2.940256152723522,portal,15,common,portal
55,2.9402561527235216,deceiv,25,common,deceived
56,2.9402561527235216,coher,25,common,coherent
57,2.917783296871463,buddhism,44,common,buddhism
58,2.8889628583359714,conceptu,19,common,conceptual
59,2.8889628583359714,retribut,19,common,retribution
60,2.8814156527005883,moral,33,common,morally
61,2.8712632812365704,trait,14,common,trait
62,2.8712632812365704,trustworthi,14,common,trustworthy
63,2.8712632812365704,categor,14,common,categorical
64,2.843406326733604,ed,59,common,ed
65,2.8348956370656957,abraham,27,common,abraham
66,2.8144867654344883,loyalti,97,common,loyalty
67,2.7998043172544254,moral,126,common,morality
68,2.7971553090828487,unjust,13,common,unjust
69,2.7971553090828487,mccullough,13,common,mccullough
70,2.7971553090828487,stoic,13,common,stoic
71,2.789433262988938,argu,43,common,argues
72,2.777737223225747,matthew,17,common,matthew
73,2.765902765578744,oneself,21,common,oneself
74,2.717112601409312,defin,20,common,defines
75,2.717112601409312,identifi,12,common,identifying
76,2.717112601409312,condit,12,common,conditional
77,2.717112601409312,confucian,12,common,confucian
78,2.717112601409312,genesi,16,common,genesis
79,2.717112601409312,portugues,12,common,portuguese
80,2.717112601409312,interact,12,common,interactions
81,2.717112601409312,reward,16,common,rewards
82,2.697071850525866,truth,494,common,truth
83,2.6960591922114796,evil,282,common,evil
84,2.680744957238437,taiwan,27,common,taiwan
85,2.6658193070217613,penanc,19,common,penance
86,2.6658193070217613,immor,19,common,immoral
87,2.652574080271741,buddhist,15,common,buddhist
88,2.652574080271741,reciproc,30,common,reciprocal
89,2.652574080271741,advoc,15,common,advocated
90,2.633730992470261,devil,92,common,devil
91,2.630101224419682,correl,11,common,correlated
92,2.630101224419682,len,11,common,len
93,2.630101224419682,elicit,11,common,elicit
94,2.630101224419682,dewey,11,common,dewey
95,2.630101224419682,antiqu,11,common,antiquity
96,2.6170291428523296,aristotl,76,common,aristotle
97,2.6071117061949836,perceiv,43,common,perceived
98,2.583581208784789,giggl,14,common,giggles
99,2.583581208784789,imperfect,14,common,imperfect
100,2.583581208784789,selfish,28,common,selfish
101,2.5675808674383482,challeng,31,common,challenged
102,2.5347910446153574,focus,20,common,focusing
103,2.5347910446153574,riski,10,common,risky
104,2.5347910446153574,appeas,10,common,appeasement
105,2.5347910446153574,parabl,10,common,parable
106,2.528521431601762,good,53,common,goodness
107,2.527723877392265,moral,470,common,moral
108,2.527068998521447,sentenc,43,common,sentences
109,2.4998113257193304,partner,103,common,partner
110,2.493969050095102,maxim,16,common,maximizing
111,2.493969050095102,cornel,16,common,cornell
112,2.493969050095102,virtu,96,common,virtue
113,2.483497750227807,forgiven,19,common,forgiven
114,2.483497750227807,forgiv,76,common,forgive
115,2.483497750227807,definit,19,common,definitions
116,2.483497750227807,equal,38,common,equality
117,2.4794409495321923,trust,164,common,trust
118,2.47291564089727,madam,47,common,madame
119,2.470252523477786,buddha,25,common,buddha
120,2.4606830724616358,punish,65,common,punishment
121,2.450049816160267,proposit,49,common,proposition
122,2.429430528957531,assert,12,common,asserting
123,2.429430528957531,viewpoint,9,common,viewpoints
124,2.429430528957531,decre,9,common,decree
125,2.429430528957531,punish,9,common,punish
126,2.429430528957531,elabor,9,common,elaborated
127,2.429430528957531,parol,15,common,parole
128,2.429430528957531,verif,12,common,verification
129,2.429430528957531,schema,9,common,schema
130,2.429430528957531,heal,18,common,healing
131,2.429430528957531,substant,9,common,substantive
132,2.429430528957531,esteem,15,common,esteem
133,2.429430528957531,muslim,9,common,muslim
134,2.429430528957531,rhetor,15,common,rhetoric
135,2.429430528957531,sorrow,27,common,sorrow
136,2.429430528957531,chariti,24,common,charity
137,2.429430528957531,skeptic,15,common,skepticism
138,2.386870914538735,philosoph,46,common,philosopher
139,2.366910171976197,commiss,31,common,commissions
140,2.36043765747058,virtu,42,common,virtues
141,2.342419151967901,positiv,11,common,positivism
142,2.342419151967901,account,11,common,accountability
143,2.342419151967901,text,11,common,texts
144,2.342419151967901,particip,11,common,participant
145,2.329347070400549,moral,19,common,morals
146,2.3240700132997048,honesti,27,common,honesty
147,2.3194296337432023,sin,43,common,sins
148,2.3116474933011477,blackwel,8,common,blackwell
149,2.3116474933011477,royc,8,common,royce
150,2.3116474933011477,object,8,common,objectively
151,2.3116474933011477,lutheran,8,common,lutheran
152,2.3116474933011477,lucif,8,common,lucifer
153,2.3116474933011477,exclud,8,common,excludes
154,2.3116474933011477,neural,8,common,neural
155,2.3116474933011477,cultur,32,common,cultures
156,2.3116474933011477,propon,16,common,proponents
157,2.301597157447646,al,66,common,al
158,2.297661251326408,concept,71,common,concepts
159,2.2817945301514664,titl,44,common,titles
160,2.2752798491302726,semant,18,common,semantic
161,2.2752798491302726,sinner,18,common,sinner
162,2.2700984903882753,philosophi,220,common,philosophy
163,2.2588050119267677,econom,43,common,economics
164,2.2471089721635766,identifi,15,common,identifies
165,2.2471089721635766,labour,10,common,labour
166,2.2471089721635766,intent,10,common,intentionally
167,2.2471089721635766,intrins,10,common,intrinsically
168,2.2471089721635766,amongst,10,common,amongst
169,2.2471089721635766,realism,60,common,realism
170,2.2471089721635766,apolog,10,common,apologies
171,2.2181214352903242,evolut,34,common,evolution
172,2.2062869776433214,cambridg,36,common,cambridge
173,2.2062869776433214,roger,36,common,roger
174,2.2062869776433214,enhanc,12,common,enhance
175,2.195815677776026,offens,19,common,offense
176,2.19459093788013,theori,306,common,theory
177,2.184308070924546,happi,54,common,happiness
178,2.178116100676625,expertis,7,common,expertise
179,2.178116100676625,falsiti,7,common,falsity
180,2.178116100676625,emphas,7,common,emphasizes
181,2.178116100676625,omiss,7,common,omission
182,2.178116100676625,behavior,7,common,behavioral
183,2.178116100676625,imprison,14,common,imprisonment
184,2.178116100676625,altern,7,common,alternatively
185,2.178116100676625,mytholog,7,common,mythology
186,2.178116100676625,apolog,7,common,apology
187,2.178116100676625,intimaci,7,common,intimacy
188,2.178116100676625,univers,7,common,universality
189,2.178116100676625,coven,7,common,covenant
190,2.178116100676625,inher,7,common,inherently
191,2.178116100676625,ludwig,7,common,ludwig
192,2.178116100676625,etiquett,7,common,etiquette
193,2.178116100676625,translat,7,common,translations
194,2.178116100676625,confucian,7,common,confucianism
195,2.178116100676625,implicitli,7,common,implicitly
196,2.178116100676625,exemplifi,7,common,exemplified
197,2.178116100676625,motiv,7,common,motivates
198,2.178116100676625,sin,7,common,sinful
199,2.1417484565057503,naturalist,9,common,naturalistic
200,2.1417484565057503,feedback,9,common,feedback
201,2.1417484565057503,ethic,9,common,ethic
202,2.1417484565057503,contrast,9,common,contrasted
203,2.1331647128143585,philosoph,58,common,philosophical
204,2.1192756006536912,commut,22,common,commute
205,2.1192756006536912,bump,11,common,bump
206,2.1192756006536912,transact,11,common,transactions
