,Score,Stem,Tf,Type,Word
0,5.095116234959516,repent,129,common,repent
1,4.714910793610589,compass,147,common,compassion
2,4.651731891989058,forgiv,414,common,forgiveness
3,4.629752985270282,offend,81,common,offended
4,4.552791944134154,pardon,200,common,pardon
5,4.395830299701245,ethic,406,common,ethics
6,4.295746841144263,islam,58,common,islam
7,4.224287877162118,decept,72,common,deceptive
8,4.205595744149965,utilitarian,53,common,utilitarian
9,4.106504841505735,citat,80,common,citation
10,3.994175656531815,non,143,common,non
11,3.9179136716981846,uncondit,53,common,unconditional
12,3.9179136716981846,evolutionari,53,common,evolutionary
13,3.7906518920872574,islam,35,common,islamic
14,3.731811392064324,loyalti,33,common,loyalties
15,3.731811392064324,epistemolog,33,common,epistemology
16,3.7318113920643237,jealousi,44,common,jealousy
17,3.7010397333975704,satan,32,common,satan
18,3.5675083407730477,behaviour,28,common,behaviour
19,3.4541796554660444,cumberland,25,common,cumberland
20,3.4541796554660444,interperson,25,common,interpersonal
21,3.444129319612543,theori,165,common,theories
22,3.3993714189710498,philosoph,71,common,philosophers
23,3.3880398529614997,templat,39,common,template
24,3.3769900167749145,particip,54,common,participants
25,3.3707980465269936,hindu,23,common,hindu
26,3.3436777403077995,self,291,common,self
27,3.3353961194760777,cicero,37,common,cicero
28,3.3263462839561595,goddess,22,common,goddess
29,3.3099793064919543,psycholog,101,common,psychology
30,3.279826268321267,truth,28,common,truths
31,3.279826268321267,human,63,common,humans
32,3.2434586241503918,pragmat,27,common,pragmatic
33,3.2381535719206984,descript,47,common,descriptive
34,3.179742809764284,liar,19,common,liar
35,3.158465411316999,norm,62,common,norm
36,3.1256755884940084,jurisprud,18,common,jurisprudence
37,3.1256755884940084,precept,18,common,precepts
38,3.1256755884940084,jealou,24,common,jealous
39,3.106983455481856,obedi,53,common,obedience
40,3.091774036818327,kind,29,common,kindness
41,3.0831159740752123,augustin,23,common,augustine
42,3.06851717465406,luke,17,common,luke
43,3.056682717007057,intrins,28,common,intrinsic
