,Score,Stem,Tf,Type,Word
0,5.164298530250255,adulteri,97,common,adultery
1,5.153935743214708,polit,160,common,politeness
2,5.032238808237189,etiquett,85,common,etiquette
3,4.7484706351065435,coven,64,common,covenant
4,4.6839321139689725,tablet,60,common,tablet
5,4.632638819581422,exodu,76,common,exodus
6,4.4397351534569305,behaviour,47,common,behaviour
7,4.424420918483888,idol,108,common,idol
8,4.030005646562309,citat,52,common,citation
9,3.9568833817333458,interact,29,common,interactions
10,3.9568833817333458,behavior,29,common,behavioral
11,3.907403324469976,authoritarian,46,common,authoritarian
12,3.7423235741105274,templat,39,common,template
13,3.735892683780237,pieti,31,common,piety
14,3.7031028609572463,matthew,30,common,matthew
15,3.662280866436991,steal,36,common,steal
16,3.59774234529942,calvin,27,common,calvin
17,3.592437293069727,particip,47,common,participants
18,3.4917937672900394,god,85,common,gods
19,3.4799593096430366,polit,42,common,polite
20,3.4799593096430366,corpor,24,common,corporal
21,3.4631521913266554,norm,59,common,norm
22,3.4228008958030878,portal,17,common,portal
23,3.4228008958030878,jeremiah,17,common,jeremiah
24,3.375969596118989,disciplin,146,common,discipline
25,3.353207604003893,thou,74,common,thou
26,3.330427575672073,cultur,62,common,cultures
27,3.3223303654394534,norm,123,common,norms
28,3.297637752849082,homosexu,15,common,homosexuals
29,3.2774350455315626,non,49,common,non
30,3.2330992317115106,conform,75,common,conformity
31,3.198431102765634,command,326,common,command
32,3.192277237191256,hebrew,45,common,hebrew
33,3.1762768958448144,regard,31,common,regards
34,3.169804381339197,reform,22,common,reformation
35,3.164106360224559,assimil,35,common,assimilation
36,3.154536909208409,conform,13,common,conformed
37,3.154536909208409,spous,13,common,spouse
38,3.135118823351307,exil,17,common,exile
39,3.123284365704304,israel,63,common,israel
40,3.101893175722987,mose,37,common,moses
41,3.0744942015348724,precept,12,common,precepts
42,3.074494201534872,grammar,16,common,grammar
43,3.0381265573639973,reinforc,27,common,reinforced
44,3.0257040373654402,punish,80,common,punishment
45,3.009955680397301,reward,15,common,rewards
46,3.009955680397301,text,15,common,texts
47,3.003876634320919,strategi,82,common,strategy
48,2.969133685877046,manner,54,common,manners
49,2.9409628089103497,genesi,14,common,genesis
50,2.9409628089103497,buddhist,14,common,buddhist
51,2.9409628089103497,prophet,14,common,prophets
52,2.9119752720370973,forbid,17,common,forbids
53,2.9119752720370973,retriev,34,common,retrieved
54,2.8921726447409175,violat,10,common,violations
55,2.8921726447409175,swear,10,common,swearing
56,2.8921726447409175,unjust,10,common,unjust
57,2.8513506502206623,prophet,16,common,prophet
58,2.83029724102283,parent,47,common,parent
59,2.7868121290830916,rigor,21,common,rigorous
60,2.786812129083091,luther,15,common,luther
61,2.786812129083091,talmud,12,common,talmud
62,2.786812129083091,sin,9,common,sinful
63,2.786812129083091,hug,9,common,hug
64,2.786812129083091,indigen,9,common,indigenous
65,2.786812129083091,cue,9,common,cues
66,2.786812129083091,perspect,9,common,perspectives
67,2.7775097364207775,worship,107,common,worship
68,2.7251185600777514,self,110,common,self
69,2.6998007520934615,immigr,11,common,immigrant
70,2.6998007520934615,verif,11,common,verification
71,2.6998007520934615,augustin,11,common,augustine
72,2.6998007520934615,research,11,common,researchers
73,2.669029093426708,steal,16,common,stealing
74,2.669029093426708,avoid,8,common,avoids
75,2.669029093426708,frontal,8,common,frontal
76,2.669029093426708,oath,8,common,oaths
77,2.669029093426708,goddess,8,common,goddess
78,2.669029093426708,corinthian,8,common,corinthians
79,2.653280736458569,behavior,252,common,behavior
80,2.643711285442418,vain,26,common,vain
81,2.643711285442418,lust,13,common,lust
82,2.643711285442418,bald,13,common,bald
83,2.6326614492558327,punish,18,common,punished
84,2.6044905722891367,oath,15,common,oath
85,2.6044905722891367,jealou,10,common,jealous
86,2.6044905722891367,spous,10,common,spouses
87,2.6044905722891367,scriptur,10,common,scripture
88,2.5636685777688815,conform,24,common,conform
89,2.5636685777688815,imposit,12,common,imposition
90,2.548401105638093,respect,26,common,respected
91,2.535497700802185,confucian,7,common,confucian
92,2.535497700802185,misbehavior,7,common,misbehavior
93,2.535497700802185,punish,7,common,punish
94,2.535497700802185,cordial,14,common,cordial
95,2.5257983037134717,posit,171,common,positive
96,2.5148784135994493,sincer,16,common,sincerely
97,2.509180392484812,teach,25,common,teaches
98,2.49913005663131,captiv,9,common,captivity
99,2.49913005663131,particip,9,common,participant
100,2.49913005663131,implement,9,common,implement
101,2.4905463129399186,prohibit,29,common,prohibition
102,2.4766572007792518,esteem,11,common,esteem
103,2.4766572007792518,addit,11,common,additionally
104,2.4613897286484634,complianc,13,common,compliance
105,2.450339892461878,corpu,15,common,corpus
106,2.450339892461878,courtesi,15,common,courtesy
107,2.4354142422452028,buddhism,19,common,buddhism
108,2.419087348957774,parent,189,common,parents
109,2.4003952159456214,threaten,53,common,threatening
110,2.381347020974927,hygien,6,common,hygiene
