,Score,Stem,Tf,Type,Word
0,5.566913322955616,utilitarian,253,common,utilitarian
1,5.23753052130489,arous,182,common,arousal
2,4.988344349217955,orgasm,331,common,orgasm
3,4.94984844885311,jealousi,182,common,jealousy
4,4.893336238589767,apathi,129,common,apathy
5,4.790556369525433,citat,194,common,citation
6,4.435353096198156,lust,136,common,lust
7,4.4130473386838585,awe,133,common,awe
8,4.32457869069625,happi,560,common,happiness
9,4.273822309073275,disord,162,common,disorder
10,4.203505810655816,envi,151,common,envy
11,4.176658560619628,behavior,63,common,behavioral
12,4.127868396450196,trait,60,common,trait
13,4.049906854980484,research,74,common,researchers
14,4.03903718274358,grief,183,common,grief
15,3.965349466952421,interact,51,common,interactions
16,3.9253441323387217,behaviour,49,common,behaviour
17,3.840186323998415,loneli,135,common,loneliness
18,3.8177134681463563,interperson,44,common,interpersonal
19,3.7947239499216576,pathway,43,common,pathways
20,3.791396159828983,psycholog,200,common,psychology
21,3.7853780875034198,templat,71,common,template
22,3.7711934525114637,gratitud,126,common,gratitude
23,3.7711934525114637,mania,70,common,mania
24,3.753174947008785,evolutionari,55,common,evolutionary
25,3.734825808340589,embarrass,108,common,embarrassment
26,3.7273908298530705,genet,67,common,genetic
27,3.7224032883420315,humili,80,common,humiliation
28,3.717847471806171,reject,146,common,rejection
29,3.7055961700256503,regret,118,common,regret
30,3.6970854803577415,le,39,common,les
31,3.684182075521834,sad,77,common,sadness
32,3.617042772684205,bereav,48,common,bereavement
33,3.6030565307094653,pleasur,71,common,pleasures
34,3.5888718957175088,ecstasi,70,common,ecstasy
35,3.5300313956945755,correl,33,common,correlate
36,3.523013823035929,self,426,common,self
37,3.5133643432093637,boredom,119,common,boredom
38,3.511682257026379,esteem,54,common,esteem
39,3.507041877469877,outrag,43,common,outrage
40,3.4887884371605264,human,95,common,humans
41,3.473941929043532,stimuli,52,common,stimuli
42,3.4675110387132415,correl,31,common,correlated
43,3.451250517841461,hostil,61,common,hostility
44,3.4437710514101685,leisur,111,common,leisure
45,3.4347212158902503,sorrow,90,common,sorrow
46,3.4347212158902503,neural,30,common,neural
47,3.414518508572731,intrins,49,common,intrinsic
48,3.41062366431119,shame,205,common,shame
