,Score,Stem,Tf,Type,Word
0,5.566913322955616,utilitarian,253,common,utilitarian
1,5.23753052130489,arous,182,common,arousal
2,4.988344349217955,orgasm,331,common,orgasm
3,4.94984844885311,jealousi,182,common,jealousy
4,4.893336238589767,apathi,129,common,apathy
5,4.790556369525433,citat,194,common,citation
6,4.435353096198156,lust,136,common,lust
7,4.4130473386838585,awe,133,common,awe
8,4.32457869069625,happi,560,common,happiness
9,4.273822309073275,disord,162,common,disorder
10,4.203505810655816,envi,151,common,envy
11,4.176658560619628,behavior,63,common,behavioral
12,4.127868396450196,trait,60,common,trait
13,4.049906854980484,research,74,common,researchers
14,4.03903718274358,grief,183,common,grief
