,Score,Stem,Tf,Type,Word
0,4.275626688175027,veto,104,common,veto
1,4.2364059750217455,citat,50,common,citation
2,4.162298002868024,collaps,65,common,collapse
3,3.931105122595043,anarch,29,specific,
4,3.8797310310830135,islam,21,common,islamic
5,3.6254968926987723,particip,38,common,participants
6,3.5432587944618,crane,25,common,crane
7,3.5432587944618,interperson,15,common,interpersonal
8,3.524909655793604,wealth,108,common,wealth
9,3.520785938609742,obedi,44,common,obedience
10,3.4598771855227493,templat,23,common,template
11,3.4001579508211273,interact,13,common,interactions
12,3.4001579508211273,mid,13,common,mid
13,3.4001579508211273,portal,13,common,portal
14,3.3609372376678457,autom,25,common,automation
15,3.320115243147591,wrought,12,common,wrought
16,3.320115243147591,shock,20,common,shocks
17,3.320115243147591,authoritarian,20,common,authoritarian
18,3.26882194876004,experiment,19,common,experimenter
19,3.2555767220100194,assent,15,common,assent
20,3.2331038661579607,behaviour,11,common,behaviour
21,3.2248050633432657,domin,40,common,dominance
22,3.1575963136498157,comput,17,common,computers
23,3.143658805806034,product,57,common,productivity
24,3.137793686353636,ruler,10,common,ruler
25,3.096971691833381,holocaust,16,common,holocaust
26,3.0324331706958096,research,12,common,researchers
27,3.0324331706958096,media,39,common,media
28,3.0324331706958096,revolut,21,common,revolutions
29,3.0324331706958096,global,12,common,global
30,3.0324331706958096,reward,12,common,rewards
31,3.0324331706958096,tibetan,9,common,tibetan
32,2.9985316190201283,non,29,common,non
33,2.9634402992088584,dynasti,14,common,dynasty
34,2.958325198542088,boundari,39,common,boundaries
35,2.94542179370618,particip,11,common,participant
36,2.9270726550379833,packag,54,common,package
37,2.9146501350394263,interchang,8,common,interchangeable
38,2.9146501350394263,islam,8,common,islam
39,2.9146501350394263,shovel,8,common,shovels
40,2.850111613901855,feedback,10,common,feedback
41,2.850111613901855,labour,10,common,labour
42,2.8276387580497966,hierarchi,22,common,hierarchy
43,2.814179604675792,steam,41,common,steam
44,2.8092896193816,pulp,12,common,pulp
45,2.7811187424149035,expertis,7,common,expertise
46,2.7811187424149035,cohen,7,common,cohen
47,2.744751098244029,radic,9,common,radicals
48,2.744751098244029,vatican,9,common,vatican
49,2.733940182139813,author,207,common,authority
50,2.6577397212543987,parliament,33,common,parliament
51,2.6269680625876455,muslim,6,common,muslim
52,2.6269680625876455,moder,8,common,moderates
53,2.6269680625876455,administ,6,common,administer
54,2.6269680625876455,mechan,8,common,mechanization
55,2.6269680625876455,contain,8,common,containers
56,2.6269680625876455,chemic,8,common,chemicals
57,2.6269680625876455,perspect,6,common,perspectives
58,2.6269680625876455,societ,8,common,societal
59,2.521607546929819,byzantin,9,common,byzantine
60,2.521607546929819,prophet,9,common,prophet
61,2.4934366699631227,verif,7,common,verification
62,2.4934366699631227,documentari,7,common,documentary
63,2.4934366699631227,ussr,7,common,ussr
64,2.477436328616682,refer,31,common,refers
65,2.472817382760387,yield,12,common,yields
66,2.4644491330898703,tactic,34,common,tactics
67,2.4446465057936906,complianc,10,common,compliance
68,2.4446465057936906,punish,5,common,punish
69,2.4446465057936906,behavior,5,common,behavioral
70,2.4446465057936906,individualist,5,common,individualist
71,2.4446465057936906,marxist,5,common,marxist
72,2.4446465057936906,canal,5,common,canal
73,2.4446465057936906,cultur,20,common,cultures
74,2.4446465057936906,ideolog,5,common,ideologies
75,2.4446465057936906,nonverb,5,common,nonverbal
76,2.43507705477754,experi,104,common,experiment
77,2.4328120481466877,econom,28,common,economics
78,2.4193286978094006,bia,13,common,bias
79,2.4038245112734358,tendenc,8,common,tendencies
80,2.4038245112734358,mechan,8,common,mechanized
81,2.3858060057707573,psycholog,22,common,psychology
82,2.3691389532855456,elect,51,common,elected
83,2.3691389532855456,spin,17,common,spinning
84,2.3392859901358647,cast,6,common,casting
85,2.3392859901358647,commun,6,common,commune
86,2.3392859901358647,subordin,9,common,subordinate
87,2.3392859901358647,exil,6,common,exile
88,2.3392859901358647,circuit,6,common,circuits
89,2.3392859901358647,tribal,9,common,tribal
90,2.3392859901358647,abus,27,common,abuse
91,2.3392859901358642,retriev,15,common,retrieved
92,2.3015456621530173,challeng,13,common,challenged
93,2.2904958259664325,disord,10,common,disorder
94,2.2727962488670315,power,480,common,power
95,2.270293118648913,co,7,common,co
96,2.270293118648913,unload,7,common,unloading
97,2.256594274290751,revolutionari,29,common,revolutionary
98,2.2522746131462346,obey,11,common,obey
99,2.221502954479481,perceiv,4,common,perceives
100,2.221502954479481,robot,4,common,robots
101,2.221502954479481,apartheid,4,common,apartheid
102,2.221502954479481,soda,4,common,soda
103,2.221502954479481,ultimatum,4,common,ultimatum
104,2.221502954479481,steel,4,common,steels
105,2.221502954479481,dissolut,4,common,dissolution
106,2.221502954479481,unilater,4,common,unilateral
107,2.221502954479481,disrupt,4,common,disruption
108,2.221502954479481,powerless,4,common,powerless
109,2.221502954479481,viewpoint,4,common,viewpoints
110,2.221502954479481,utah,8,common,utah
111,2.221502954479481,iraq,4,common,iraq
112,2.221502954479481,antiqu,4,common,antiquity
113,2.221502954479481,ottoman,4,common,ottoman
114,2.221502954479481,coin,4,common,coined
115,2.221502954479481,perceiv,16,common,perceived
116,2.221502954479481,monarch,4,common,monarch
117,2.185135310308606,environment,9,common,environmental
118,2.1749829388445883,orient,14,common,oriented
119,2.165622496085024,happi,29,common,happiness
120,2.15696443334191,coercion,5,common,coercion
121,2.15696443334191,hearth,5,common,hearth
122,2.15696443334191,decreas,10,common,decreased
123,2.15696443334191,coup,5,common,coup
124,2.15696443334191,episod,15,common,episode
125,2.15696443334191,invent,5,common,inventions
126,2.15696443334191,petti,10,common,petty
127,2.15696443334191,cleans,5,common,cleansing
128,2.134491577489851,subordin,11,common,subordinates
129,2.130531176273754,regim,28,common,regime
130,2.1161424388216545,organiz,6,common,organizational
131,2.104166247774939,revolut,83,common,revolution
132,2.100874966690866,furnac,13,common,furnace
133,2.0879715618549586,capitalist,7,common,capitalist
134,2.0879715618549586,turbin,7,common,turbine
135,2.067352274652223,commonwealth,8,common,commonwealth
136,2.067352274652223,tibet,8,common,tibet
137,2.058984024981706,reward,17,common,reward
138,2.0391813976855264,dual,10,common,dual
