,Score,Stem,Tf,Type,Word
0,5.7370402006820385,hygien,169,common,hygiene
1,5.474675936214547,behaviour,130,common,behaviour
2,5.375705218655492,reciproc,314,common,reciprocal
3,5.161018377359506,pollut,190,common,pollution
4,5.028989614619517,contamin,111,common,contamination
5,4.701486047981065,global,80,common,global
6,4.498961783869591,humanitarian,49,common,humanitarian
7,4.441974852495981,environment,108,common,environmental
8,4.413803975529285,citat,75,common,citation
9,4.207189726166285,norm,122,common,norm
10,4.190660424215075,contamin,36,common,contaminated
11,4.173853305898693,homeland,59,common,homeland
12,4.139367129827524,risk,57,common,risks
13,4.072877388558691,kinship,32,common,kinship
14,3.7534466177923296,marx,62,common,marx
15,3.6856178024127315,secur,659,common,security
16,3.5515804649254052,risk,342,common,risk
17,3.5303030664781203,non,62,common,non
18,3.4734156920760686,wast,205,common,waste
19,3.4403548298151807,behavior,17,common,behavioral
20,3.4263244188433464,iso,37,specific,
21,3.3151916868611746,impact,15,common,impacts
22,3.3151916868611746,capitalist,30,common,capitalist
23,3.246198815374223,portal,14,common,portal
24,3.2318100779221233,organiz,23,common,organizational
25,3.2098311712033483,disast,18,common,disasters
26,3.1526727573633995,encompass,17,common,encompass
27,3.1228197942137186,infect,33,common,infection
28,3.092048135546965,canal,12,common,canal
29,3.092048135546965,pacif,12,common,pacifism
30,3.0920481355469644,hazard,20,common,hazardous
31,3.0920481355469644,chemic,16,common,chemicals
32,3.0815768356796696,norm,95,common,norms
33,3.0050367585573348,emerg,11,common,emergence
34,3.0050367585573348,marxist,11,common,marxist
35,3.0050367585573348,perspect,11,common,perspectives
36,3.0050367585573348,particul,11,common,particulate
37,3.0050367585573348,hindu,11,common,hindu
38,3.0050367585573348,proletariat,11,common,proletariat
39,2.9425164015760013,human,31,common,humans
40,2.9425164015760013,resourc,31,common,resource
41,2.9295292060491898,insecur,17,common,insecurity
42,2.9097265787530104,stabil,10,common,stabilization
43,2.9097265787530104,toxic,10,common,toxic
44,2.9097265787530104,hydrocarbon,10,common,hydrocarbon
45,2.8844087707687205,evolutionari,13,common,evolutionary
46,2.8508860787300767,anthropolog,22,common,anthropology
47,2.8227152017633803,refer,55,common,refers
48,2.804366063095184,islam,9,common,islamic
49,2.804366063095184,chen,9,common,chen
50,2.804366063095184,interact,9,common,interactions
51,2.804366063095184,riski,9,common,risky
52,2.804366063095184,harm,12,common,harmful
53,2.804366063095184,protect,9,common,protecting
54,2.804366063095184,benevol,12,common,benevolence
55,2.804366063095184,activ,15,common,activated
56,2.755575898925752,organ,20,common,organisms
57,2.7353731916082324,co,14,common,co
58,2.7353731916082324,extract,14,common,extraction
59,2.7274050219590555,conflict,25,common,conflicts
60,2.717354686105554,intervent,55,common,intervention
61,2.717354686105554,labour,11,common,labour
62,2.6865830274388003,hierarchi,24,common,hierarchy
63,2.6865830274388003,trait,8,common,trait
64,2.6708346704706614,ensur,21,common,ensure
65,2.6612652194545108,templat,13,common,template
66,2.6502153832679256,threat,36,common,threats
67,2.622044506301229,environ,10,common,environments
68,2.622044506301229,sludg,10,common,sludge
69,2.622044506301229,cleaner,20,common,cleaners
