,Score,Stem,Tf,Type,Word
0,5.7791930177802655,hygien,169,common,hygiene
1,5.516828753312774,behaviour,130,common,behaviour
2,5.417858035753719,reciproc,314,common,reciprocal
3,5.203171194457733,pollut,190,common,pollution
4,5.071142431717745,contamin,111,common,contamination
5,4.743638865079292,global,80,common,global
6,4.541114600967818,humanitarian,49,common,humanitarian
7,4.484127669594208,environment,108,common,environmental
8,4.265603064136292,citat,62,common,citation
9,4.249342543264513,norm,122,common,norm
10,4.232813241313302,contamin,36,common,contaminated
11,4.21600612299692,homeland,59,common,homeland
12,4.181519946925751,risk,57,common,risks
13,4.115030205656918,kinship,32,common,kinship
14,3.7277706195109586,secur,659,common,security
15,3.5937332820236323,risk,342,common,risk
16,3.556195362704567,non,61,common,non
17,3.510678523880104,wast,204,common,waste
18,3.4825076469134078,behavior,17,common,behavioral
19,3.462953271730921,iso,37,specific,
20,3.3573445039594016,impact,15,common,impacts
21,3.2739628950203508,organiz,23,common,organizational
22,3.2519839883015758,disast,18,common,disasters
23,3.194825574461627,encompass,17,common,encompass
24,3.1649726113119456,infect,33,common,infection
25,3.134200952645192,canal,12,common,canal
26,3.134200952645192,hazard,20,common,hazardous
27,3.134200952645192,pacif,12,common,pacifism
28,3.134200952645192,chemic,16,common,chemicals
29,3.1237296527778966,norm,95,common,norms
30,3.0471895756555623,particul,11,common,particulate
31,3.0471895756555623,perspect,11,common,perspectives
32,3.0471895756555623,hindu,11,common,hindu
33,3.0471895756555623,emerg,11,common,emergence
34,3.0471895756555623,portal,11,common,portal
35,2.9846692186742283,human,31,common,humans
36,2.9846692186742283,resourc,31,common,resource
37,2.9716820231474173,insecur,17,common,insecurity
38,2.9518793958512375,hydrocarbon,10,common,hydrocarbon
39,2.9518793958512375,stabil,10,common,stabilization
40,2.9518793958512375,toxic,10,common,toxic
41,2.9265615878669475,evolutionari,13,common,evolutionary
42,2.893038895828304,anthropolog,22,common,anthropology
43,2.864868018861608,refer,55,common,refers
44,2.846518880193411,marx,24,common,marx
45,2.846518880193411,riski,9,common,risky
46,2.846518880193411,chen,9,common,chen
47,2.846518880193411,harm,12,common,harmful
48,2.846518880193411,protect,9,common,protecting
49,2.846518880193411,benevol,12,common,benevolence
50,2.846518880193411,activ,15,common,activated
51,2.846518880193411,islam,9,common,islamic
52,2.797728716023979,organ,20,common,organisms
53,2.77752600870646,co,14,common,co
54,2.77752600870646,extract,14,common,extraction
55,2.7287358445370278,trait,8,common,trait
56,2.7287358445370278,hierarchi,24,common,hierarchy
57,2.7287358445370278,interact,8,common,interactions
58,2.7224662315234323,intervent,53,common,intervention
59,2.6923682003661527,threat,36,common,threats
60,2.6641973233994567,challeng,10,common,challenges
61,2.6641973233994567,cleaner,20,common,cleaners
62,2.6641973233994567,environ,10,common,environments
63,2.6641973233994567,ensur,20,common,ensure
64,2.6641973233994567,sludg,10,common,sludge
65,2.659932924612999,safeti,117,common,safety
66,2.641724467547398,conflict,22,common,conflicts
67,2.6233753288792014,templat,12,common,template
68,2.6233753288792014,bath,12,common,baths
