,Score,Stem,Tf,Type,Word
0,5.894352408049482,creativ,596,common,creativity
1,5.894352408049482,sternberg,74,specific,
2,5.312254230964576,improvis,111,common,improvised
3,5.078436148403446,innov,205,common,innovation
4,4.910161807335051,bulli,99,common,bully
5,4.70701892272751,adapt,101,common,adapt
6,4.431365426141337,neural,46,common,neural
7,4.34039364793561,gardner,56,common,gardner
8,4.31629609635655,netherland,41,common,netherlands
9,4.068459932451968,zealand,32,common,zealand
10,3.898560895656571,invent,36,common,inventions
11,3.8760880398045123,citat,44,common,citation
12,3.7711159490884505,comput,103,common,computer
13,3.7444102158293124,particip,54,common,participants
14,3.716239338862616,research,30,common,researchers
15,3.708804360375098,territori,67,common,territories
16,3.693766483010558,guinea,22,common,guinea
17,3.6823377871869347,exploratori,29,common,exploratory
18,3.6823377871869347,solv,58,common,solving
19,3.647246467375665,non,70,common,non
20,3.647246467375665,innov,28,common,innovations
21,3.598456303206233,unilater,20,common,unilateral
22,3.598456303206233,interperson,20,common,interpersonal
23,3.5731384952219427,blend,26,common,blended
24,3.5441509583486908,independ,442,common,independence
25,3.5339177820686616,portug,25,common,portugal
26,3.510307916429528,intellig,293,common,intelligence
27,3.4930957875484068,domain,18,common,domains
28,3.4930957875484063,spain,42,common,spain
29,3.4930957875484063,organiz,30,common,organizational
30,3.4505361731296107,conceptu,23,common,conceptual
31,3.435937373708458,arous,17,common,arousal
32,3.435937373708458,stratum,17,common,stratum
33,3.424102916061455,templat,28,common,template
34,3.375312751892023,pathway,16,common,pathways
35,3.3429055089372453,creativ,253,common,creative
36,3.3389451077211483,reinforc,36,common,reinforced
37,3.3260417028852403,kingdom,132,common,kingdom
38,3.279521687250347,abil,63,common,abilities
39,3.2417813592675007,diverg,28,common,divergent
40,3.238670936853108,curios,107,common,curiosity
41,3.2054137150966255,incub,18,common,incubation
42,3.1676733871137785,frontal,13,common,frontal
43,3.1676733871137785,portugues,13,common,portuguese
44,3.1676733871137785,trait,26,common,traits
45,3.1676733871137785,reward,13,common,rewarded
46,3.1535886472320396,motiv,47,common,motivation
47,3.1482553012566767,invent,85,common,invention
48,3.1482553012566767,administ,17,common,administering
49,3.1482553012566767,inventor,17,common,inventors
50,3.1482553012566767,global,17,common,global
51,3.1123232920306134,seced,41,common,secede
52,3.087630679440242,perspect,12,common,perspectives
53,3.087630679440242,behaviour,12,common,behaviour
54,3.087630679440242,lobe,12,common,lobe
55,3.087630679440242,trait,12,common,trait
56,3.087630679440242,yugoslavia,20,common,yugoslavia
57,3.0363373850526916,facilit,19,common,facilitate
58,3.0363373850526916,stimuli,19,common,stimuli
59,3.032570902257215,psycholog,53,common,psychology
