,Score,Stem,Tf,Type,Word
0,5.973217220589031,creativ,593,common,creativity
1,5.973217220589031,sternberg,72,specific,
2,5.39616531157175,improvis,111,common,improvised
3,5.157457243716427,innov,204,common,innovation
4,4.994072887942224,bulli,99,common,bully
5,4.760776965163997,adapt,98,common,adapt
6,4.51527650674851,neural,46,common,neural
7,4.424304728542783,gardner,56,common,gardner
8,4.270154048715525,netherland,36,common,netherlands
9,4.087832491921571,zealand,30,common,zealand
10,3.982471976263744,invent,36,common,inventions
11,3.9134791047767927,citat,42,common,citation
12,3.8283212964364854,particip,54,common,participants
13,3.8001504194697895,research,30,common,researchers
14,3.7927154409822714,territori,67,common,territories
15,3.766248867794108,exploratori,29,common,exploratory
16,3.763592823735992,comput,94,common,computer
17,3.731157547982838,innov,28,common,innovations
18,3.731157547982838,solv,56,common,solving
19,3.702170011109586,non,68,common,non
20,3.682367383813406,interperson,20,common,interpersonal
21,3.6310740894258555,unilater,19,common,unilateral
22,3.617828862675835,blend,25,common,blended
23,3.5770068681555798,organiz,30,common,organizational
24,3.5770068681555793,domain,18,common,domains
25,3.519848454315631,arous,17,common,arousal
26,3.519848454315631,guinea,17,common,guinea
27,3.5050333685304906,intellig,268,common,intelligence
28,3.4592238324991964,pathway,16,common,pathways
29,3.4228561883283213,reinforc,36,common,reinforced
30,3.418880039948682,creativ,251,common,creative
31,3.394685311361625,conceptu,20,common,conceptual
32,3.3256924398746737,diverg,28,common,divergent
33,3.3225820174602814,curios,107,common,curiosity
34,3.311303702422574,templat,23,common,template
35,3.2893247957037985,incub,18,common,incubation
36,3.251584467720952,trait,26,common,traits
37,3.251584467720952,reward,13,common,rewarded
38,3.251584467720952,frontal,13,common,frontal
39,3.2374997278392126,motiv,47,common,motivation
40,3.23216638186385,inventor,17,common,inventors
41,3.23216638186385,invent,85,common,invention
42,3.23216638186385,global,17,common,global
43,3.23216638186385,administ,17,common,administering
44,3.196234372637787,seced,41,common,secede
45,3.171541760047415,behaviour,12,common,behaviour
46,3.171541760047415,perspect,12,common,perspectives
47,3.171541760047415,trait,12,common,trait
48,3.171541760047415,portugues,12,common,portuguese
49,3.171541760047415,lobe,12,common,lobe
50,3.107003238909844,challeng,15,common,challenges
51,3.0974337878936935,psycholog,52,common,psychology
52,3.0845303830577855,confabul,11,common,confabulation
53,3.066181244389589,enhanc,18,common,enhance
54,3.058213074740412,facto,25,common,facto
55,3.05615968592857,self,139,common,self
56,3.0380103674228924,keyboard,14,common,keyboard
57,3.0380103674228924,nationalist,14,common,nationalist
58,3.0380103674228924,portug,14,common,portugal
59,3.017391080220157,gener,24,common,generate
60,3.0090228305496405,stimuli,17,common,stimuli
61,3.0016427232520178,cope,27,common,coping
62,2.9892202032534607,focus,40,common,focused
63,2.9892202032534607,mi,10,common,mi
64,2.9639023952691708,user,13,common,user
65,2.927344799535373,reward,47,common,reward
66,2.8838596875956344,spain,21,common,spain
67,2.8838596875956344,yugoslavia,15,common,yugoslavia
68,2.8838596875956344,independ,210,common,independence
69,2.8838596875956344,facilit,15,common,facilitate
70,2.8838596875956344,expertis,9,common,expertise
71,2.8838596875956344,intrins,15,common,intrinsic
