,Stem,Score,sType,TF,wTF,wTFref
ability,abil,0.46351551655893675,raw,3,0.0002456600065509335,0.00015453691135010965
able,abl,-0.09687217415506777,raw,5,0.00040943334425155587,0.00045108071421113085
abroad,abroad,0.8357549770387808,raw,3,0.0002456600065509335,0.00010650516863318367
absurdist,absurdist,,noref,4,0.00032754667540124465,
academic,academ,0.7422289190279574,raw,3,0.0002456600065509335,0.0001169468518325154
accept,accept,0.7785965631988321,raw,4,0.00032754667540124465,0.00015036023807037693
accessible,access,3.1581426973290063,raw,3,0.0002456600065509335,1.0441683199331732e-05
accompanied,accompani,1.156662697118882,raw,3,0.0002456600065509335,7.726845567505482e-05
according,accord,0.9245504758219119,raw,9,0.0007369800196528005,0.0002923671295812885
account,account,0.005406674965350417,raw,3,0.0002456600065509335,0.0002443353868643625
act,act,-0.18471910732018582,raw,6,0.000491320013101867,0.0005909992690821761
action,action,1.3278495640987082,raw,28,0.0022928267278087126,0.0006077059622011068
active,activ,0.577925867736681,raw,4,0.00032754667540124465,0.0001837736243082385
activities,activ,1.4089428425197472,raw,12,0.000982640026203734,0.00024015871358462984
activity,activ,1.6879668522284135,raw,16,0.0013101867016049786,0.00024224705022449618
actors,actor,2.0595304086608968,raw,3,0.0002456600065509335,3.1325049597995194e-05
acts,act,1.7971661441934053,raw,6,0.000491320013101867,8.144512895478751e-05
actual,actual,1.01975862001572,raw,7,0.0005732066819521781,0.0002067453273467683
actually,actual,0.502890681793767,raw,7,0.0005732066819521781,0.0003466638822178135
adapted,adapt,2.7134568760675606,raw,5,0.00040943334425155587,2.7148376318262503e-05
adding,ad,2.8805109607307267,raw,10,0.0008188666885031117,4.594340607705962e-05
addition,addit,-0.18824644783815417,raw,3,0.0002456600065509335,0.0002965438028610212
additional,addit,-0.019911133018939382,raw,3,0.0002456600065509335,0.00025060039678396156
adopt,adopt,2.20263125230157,raw,3,0.0002456600065509335,2.7148376318262503e-05
advanced,advanc,0.7972886962109847,raw,3,0.0002456600065509335,0.00011068184191291636
advantage,advantag,1.1702683491746606,raw,6,0.000491320013101867,0.0001524485747102433
advent,advent,3.8512898778889517,raw,6,0.000491320013101867,1.0441683199331732e-05
adventure,adventur,4.901112002387629,raw,48,0.003930560104814936,2.923671295812885e-05
adventurer,adventur,2.657367409416517,stem,4,0.00032754667540124465,2.297170303852981e-05
adventures,adventur,3.594860348941275,raw,13,0.0010645266950540452,2.923671295812885e-05
adventurous,adventur,3.445824769780787,raw,4,0.00032754667540124465,1.0441683199331732e-05
adversaries,adversari,3.668968321094997,raw,3,0.0002456600065509335,6.26500991959904e-06
aesthetic,aesthet,1.5094840717416245,raw,3,0.0002456600065509335,5.4296752636525006e-05
affairs,affair,0.8475894346857838,raw,5,0.00040943334425155587,0.0001754202777487731
africa,africa,2.5013631609399356,raw,14,0.0011464133639043563,9.397514879398559e-05
african,african,2.2826739599751065,raw,7,0.0005732066819521781,5.84734259162577e-05
against,against,-0.692536677858088,raw,8,0.0006550933508024893,0.0013093870731961993
age,age,1.1884572827800348,raw,19,0.0015558467081559122,0.00047405241724966064
agency,agenc,1.0299109914797382,raw,4,0.00032754667540124465,0.0001169468518325154
ages,age,1.3465806008047716,raw,5,0.00040943334425155587,0.00010650516863318367
air,air,0.06580238525509037,raw,7,0.0005732066819521781,0.000536702516445651
aircraft,aircraft,0.5190853677137476,raw,3,0.0002456600065509335,0.00014618356479064425
airlines,airlin,3.445824769780787,raw,4,0.00032754667540124465,1.0441683199331732e-05
airplanes,airplan,2.464995516769061,raw,3,0.0002456600065509335,2.0883366398663464e-05
allow,allow,1.001740114513042,raw,5,0.00040943334425155587,0.00015036023807037693
allowed,allow,0.31323331350959877,raw,3,0.0002456600065509335,0.0001795969510285058
alone,alon,-0.21773687634885946,raw,4,0.00032754667540124465,0.0004072256447739376
along,along,-0.12370792670058292,raw,8,0.0006550933508024893,0.000741359507152553
alongside,alongsid,2.0595304086608968,raw,3,0.0002456600065509335,3.1325049597995194e-05
already,alreadi,-0.5542091129700722,raw,4,0.00032754667540124465,0.0005701159026835126
alternate,altern,3.3505145899764623,raw,8,0.0006550933508024893,2.297170303852981e-05
alternative,altern,1.528902157598726,raw,4,0.00032754667540124465,7.100344575545578e-05
although,although,0.4624765554265178,raw,13,0.0010645266950540452,0.0006703560613970972
always,alway,-0.8484629505850876,raw,5,0.00040943334425155587,0.0009564581810587867
amateur,amateur,2.9349991460147966,raw,12,0.000982640026203734,5.220841599665866e-05
ambient,ambient,,noref,3,0.0002456600065509335,
america,america,0.9660595194932055,raw,13,0.0010645266950540452,0.00040513730813407123
american,american,0.2695268661351064,raw,19,0.0015558467081559122,0.0011882635480839512
americas,america,-0.5002775493002216,stem,3,0.0002456600065509335,0.00040513730813407123
among,among,-0.2986245354879599,raw,7,0.0005732066819521781,0.0007726845567505482
amount,amount,-0.09223179459856565,raw,4,0.00032754667540124465,0.0003591939020570116
ancient,ancient,2.2074505387375187,raw,16,0.0013101867016049786,0.0001440952281507779
animal,anim,0.8357549770387808,raw,4,0.00032754667540124465,0.00014200689151091156
animated,anim,3.1581426973290063,raw,3,0.0002456600065509335,1.0441683199331732e-05
animating,anim,0.9909955752300648,stem,3,0.0002456600065509335,9.119069994083046e-05
animation,anim,2.5314406161772136,stem,14,0.0011464133639043563,9.119069994083046e-05
anime,anim,1.5018211989960555,stem,5,0.00040943334425155587,9.119069994083046e-05
another,anoth,-0.6617650191913343,raw,9,0.0007369800196528005,0.001428422261668581
antiquity,antiqu,3.9566503935467776,raw,4,0.00032754667540124465,6.26500991959904e-06
apocalyptic,apocalypt,4.00544055771621,raw,7,0.0005732066819521781,1.0441683199331732e-05
appear,appear,0.005406674965350417,raw,3,0.0002456600065509335,0.0002443353868643625
applied,appli,0.10414151565103942,raw,3,0.0002456600065509335,0.0002213636838258327
approach,approach,0.24307832684247005,raw,4,0.00032754667540124465,0.0002568654067035606
arab,arab,2.9758211405350514,stem,3,0.0002456600065509335,1.253001983919808e-05
area,area,-0.502337282263232,raw,5,0.00040943334425155587,0.0006766210713166962
areas,area,0.4023610934056062,raw,9,0.0007369800196528005,0.0004928474470084577
argentina,argentina,,noref,3,0.0002456600065509335,
arising,aris,2.369685336964736,raw,3,0.0002456600065509335,2.297170303852981e-05
aristocratic,aristocrat,3.381286248643216,raw,3,0.0002456600065509335,8.353346559465386e-06
around,around,0.4729606871304554,raw,23,0.0018833933835571569,0.0011736451916048868
arranged,arrang,0.9833909758448454,raw,3,0.0002456600065509335,9.188681215411925e-05
arrivals,arriv,4.872941125420933,raw,10,0.0008188666885031117,6.26500991959904e-06
art,art,0.8163368911816793,raw,12,0.000982640026203734,0.00043437402109220005
article,articl,1.752045708912936,raw,10,0.0008188666885031117,0.00014200689151091156
articles,articl,1.3335934052779603,raw,3,0.0002456600065509335,6.473843583585675e-05
artistic,artist,1.2710730482966262,raw,3,0.0002456600065509335,6.891510911558943e-05
arts,art,1.4252237281238844,raw,7,0.0005732066819521781,0.00013783021823117887
asia,asia,3.1036545120449364,raw,25,0.002047166721257779,9.188681215411925e-05
asian,asian,2.7526775892208417,raw,4,0.00032754667540124465,2.0883366398663464e-05
aspects,aspect,0.6086975264034346,raw,3,0.0002456600065509335,0.00013365354495144618
associated,associ,1.6375359986015217,raw,8,0.0006550933508024893,0.00012738853503184712
association,associ,0.9833909758448454,raw,9,0.0007369800196528005,0.00027566043646235774
athletes,athlet,3.668968321094997,raw,5,0.00040943334425155587,1.0441683199331732e-05
athletic,athlet,2.7245067122541458,raw,7,0.0005732066819521781,3.759005951759423e-05
athletics,athlet,2.5703560324268873,raw,3,0.0002456600065509335,1.8795029758797117e-05
atlantic,atlant,1.589526779415161,raw,5,0.00040943334425155587,8.353346559465386e-05
atompunk,atompunk,,noref,3,0.0002456600065509335,
attack,attack,0.624445883371574,raw,5,0.00040943334425155587,0.00021927534718596637
