,Score,Stem,Tf,Type,Word
0,5.56090191714212,humil,149,common,humility
1,4.468978616624807,citat,50,common,citation
2,4.3999857451378555,greed,28,common,greed
3,4.333540645729703,virtu,131,common,virtues
4,4.009446287246367,ethic,120,common,ethics
5,3.9909428156818074,virtu,186,common,virtue
6,3.9155933784400205,text,23,common,texts
7,3.9093628286893845,lore,40,common,lore
8,3.900994579018868,madonna,17,common,madonna
9,3.8403699572024332,parabl,16,common,parable
10,3.8403699572024332,islam,16,common,islam
11,3.8150521492181433,non,52,common,non
12,3.735009441544607,oneself,24,common,oneself
13,3.735009441544607,lust,24,common,lust
14,3.6564846784322955,sin,71,common,sins
15,3.5163202405797773,envi,27,common,envy
16,3.5101282703318564,trait,23,common,traits
17,3.5070178479174636,folklor,107,common,folklore
18,3.488149363613081,buddhist,15,common,buddhist
19,3.4656765077610223,trait,11,common,trait
20,3.4656765077610223,abort,22,common,abortion
21,3.4656765077610223,fortitud,11,common,fortitude
22,3.4191564921261297,myth,21,common,myths
23,3.3703663279566975,goddess,10,common,goddess
24,3.3703663279566975,hindu,10,common,hindu
25,3.3450485199724076,gregori,13,common,gregory
26,3.3295443334364423,vice,16,common,vices
27,3.265005812298871,portal,9,common,portal
28,3.265005812298871,augustin,12,common,augustine
29,3.265005812298871,self,117,common,self
30,3.216215648129439,tradit,60,common,traditions
31,3.147222776642488,moder,8,common,moderation
32,3.147222776642488,luke,8,common,luke
33,3.147222776642488,sim,8,common,sims
34,3.147222776642488,behavior,8,common,behavioral
35,3.147222776642488,philosoph,24,common,philosophers
36,3.121904968658198,templat,13,common,template
37,3.1046631622236918,wrath,23,common,wrath
38,3.0826842555049168,prudenc,15,common,prudence
39,3.0826842555049163,modesti,10,common,modesty
40,3.0826842555049163,scriptur,10,common,scripture
41,3.060211399652858,buddhism,22,common,buddhism
42,3.0536967186316644,perform,17,common,performer
43,3.0418622609846615,vow,12,common,vows
44,3.013691384017965,sin,7,common,sinful
45,3.013691384017965,mytholog,7,common,mythology
46,3.013691384017965,virtuou,14,common,virtuous
47,3.013691384017965,pacif,7,common,pacifism
48,2.9930720968152293,moral,16,common,morally
49,2.9831546601578833,deadli,43,common,deadly
50,2.954850883995032,monk,22,common,monks
51,2.954850883995032,compass,11,common,compassion
52,2.8972810321735536,alcohol,27,common,alcohol
53,2.859540704190707,origin,14,common,origins
54,2.859540704190707,origen,6,common,origen
55,2.859540704190707,restraint,22,common,restraint
56,2.859540704190707,pleasur,12,common,pleasures
57,2.859540704190707,zealand,6,common,zealand
58,2.859540704190707,parad,6,common,parades
59,2.8595407041907066,taoism,8,common,taoism
60,2.8595407041907066,practic,16,common,practiced
61,2.8595407041907066,mystic,10,common,mystical
62,2.772529327201077,humbl,33,common,humble
63,2.7541801885328807,evangel,9,common,evangelical
64,2.7509068631879114,folk,61,common,folk
65,2.7260093115661843,matthew,7,common,matthew
66,2.7260093115661843,ritual,7,common,rituals
67,2.7260093115661843,chariti,14,common,charity
68,2.7106950765931415,tradit,162,common,tradition
69,2.7053900243634486,monast,12,common,monastic
70,2.6914037823887087,pride,71,common,pride
71,2.677219147396752,muslim,5,common,muslim
72,2.677219147396752,tortur,5,common,torture
73,2.677219147396752,teach,10,common,teachings
74,2.651901339412462,transmit,13,common,transmitted
75,2.636397152876497,stephen,8,common,stephens
76,2.636397152876497,liber,8,common,liberation
77,2.636397152876497,evolv,8,common,evolve
78,2.571858631738926,quaker,6,common,quakers
79,2.571858631738926,verif,6,common,verification
80,2.571858631738926,pieti,6,common,piety
81,2.571858631738926,contrast,6,common,contrasted
82,2.571858631738926,depict,12,common,depicted
83,2.571858631738926,custom,27,common,customs
84,2.571858631738926,nun,6,common,nuns
85,2.571858631738926,simon,6,common,simon
86,2.571858631738926,discuss,6,common,discusses
87,2.555858290392485,aristotl,31,common,aristotle
88,2.502865760251974,attach,7,common,attachment
89,2.502865760251974,retriev,14,common,retrieved
90,2.502865760251974,stoicism,7,common,stoicism
91,2.4936064348391778,christian,43,common,christianity
92,2.482246473049239,context,48,common,context
93,2.476548451934601,gift,15,common,gifts
94,2.4540755960825424,smithsonian,4,common,smithsonian
95,2.4540755960825424,modern,8,common,modernity
96,2.4540755960825424,hurt,4,common,hurting
97,2.4540755960825424,perspect,4,common,perspectives
98,2.4540755960825424,liter,4,common,literate
99,2.4540755960825424,cardin,20,common,cardinal
100,2.4540755960825424,amo,4,common,amos
101,2.4540755960825424,festiv,4,common,festivals
102,2.4540755960825424,coven,4,common,covenant
103,2.4540755960825424,epistemolog,4,common,epistemology
104,2.4540755960825424,decre,4,common,decree
105,2.4540755960825424,religion,24,common,religions
106,2.4540755960825424,commentari,4,common,commentaries
107,2.4177079519116678,abus,9,common,abuses
108,2.389537074944971,treasur,5,common,treasure
109,2.389537074944971,advoc,5,common,advocated
110,2.389537074944971,truth,5,common,truths
111,2.389537074944971,catherin,5,common,catherine
112,2.3799676239288208,verbal,26,common,verbal
113,2.3711879362767747,wealth,27,common,wealth
114,2.3670642190929128,human,11,common,humans
115,2.348715080424716,discours,12,common,discourse
116,2.348715080424716,penanc,6,common,penance
117,2.348715080424716,kind,6,common,kindness
118,2.348715080424716,defin,6,common,defines
119,2.348715080424716,abstent,6,common,abstention
120,2.3205442034580197,steal,7,common,stealing
121,2.3094943672714345,prohibit,15,common,prohibition
122,2.299924916255284,anthropolog,8,common,anthropology
123,2.2617037034350864,argu,11,common,argues
124,2.246436231304298,cultur,13,common,cultures
125,2.1663935236307617,attribut,3,common,attributing
126,2.1663935236307617,emphas,3,common,emphasizes
127,2.1663935236307617,heavenli,9,common,heavenly
128,2.1663935236307617,arrog,3,common,arrogance
129,2.1663935236307617,boast,3,common,boasting
130,2.1663935236307617,idl,3,common,idleness
131,2.1663935236307617,matt,3,common,matt
132,2.1663935236307617,lutheran,3,common,lutheran
133,2.1663935236307617,egot,3,common,egotism
134,2.1663935236307617,bless,3,common,blessings
135,2.1663935236307617,righteous,6,common,righteousness
136,2.1663935236307617,taoist,3,common,taoist
137,2.1663935236307617,wesleyan,3,common,wesleyan
138,2.1663935236307617,antiqu,3,common,antiquity
139,2.1663935236307617,focus,6,common,focusing
140,2.1663935236307617,worldli,9,common,worldly
141,2.1663935236307617,craft,3,common,crafts
142,2.1663935236307617,jurisprud,3,common,jurisprudence
143,2.1663935236307617,theolog,19,common,theology
144,2.1663935236307617,liber,3,common,liberality
145,2.1663935236307617,dilig,3,common,diligence
146,2.1663935236307617,emerg,3,common,emergence
147,2.1663935236307617,definit,6,common,definitions
148,2.1663935236307617,adulteri,3,common,adultery
149,2.1663935236307617,document,6,common,documented
150,2.1663935236307617,routin,3,common,routines
151,2.166393523630761,jerom,5,common,jerome
152,2.166393523630761,bearer,4,common,bearer
153,2.166393523630761,weigh,4,common,weighs
154,2.166393523630761,drunken,4,common,drunkenness
155,2.166393523630761,genesi,4,common,genesis
156,2.166393523630761,disciplin,4,common,disciplines
157,2.166393523630761,reli,4,common,relies
158,2.166393523630761,luther,5,common,luther
159,2.166393523630761,assert,5,common,asserts
160,2.166393523630761,feedback,4,common,feedback
161,2.166393523630761,refrain,10,common,refrain
162,2.166393523630761,fairi,4,common,fairy
163,2.166393523630761,alexandria,4,common,alexandria
164,2.166393523630761,various,5,common,variously
165,2.12717281047748,tradit,75,common,traditional
166,2.1151002292432106,plato,19,common,plato
167,2.10185500249319,transmiss,15,common,transmission
168,2.10185500249319,found,15,common,founding
169,2.0922855514770395,customari,13,common,customary
170,2.087921908189266,practic,49,common,practices
171,2.0767813649410747,myth,32,common,myth
172,2.0710833438264364,possess,10,common,possessions
173,2.0486104879743783,mose,8,common,moses
174,2.0486104879743783,mediev,16,common,medieval
175,2.0232926799900883,excel,13,common,excellence
176,2.017973518512488,ethic,25,common,ethical
177,2.017973518512488,testament,25,common,testament
178,2.017973518512488,moral,25,common,morality
179,2.012242843803503,embodi,6,common,embodied
180,2.0087645794271785,christian,123,common,christian
181,1.9993394389675954,defin,33,common,defined
182,1.9840719668368068,earthli,5,common,earthly
183,1.958754158852517,translat,13,common,translated
184,1.9550844299635548,tale,17,common,tale
185,1.9432499723165517,topic,8,common,topics
186,1.9432499723165517,rever,4,common,reverence
187,1.9432499723165517,celebr,12,common,celebration
188,1.9432499723165517,righteou,4,common,righteous
189,1.9432499723165517,correct,4,common,correction
190,1.9432499723165517,discipl,4,common,disciples
191,1.9432499723165517,alan,4,common,alan
192,1.9432499723165517,pertain,4,common,pertaining
193,1.9432499723165517,habitu,4,common,habitual
194,1.9432499723165517,theologian,4,common,theologian
195,1.9432499723165517,intrins,4,common,intrinsic
196,1.9432499723165517,rape,4,common,rape
197,1.9432499723165517,mortal,8,common,mortal
198,1.930004745566531,orthodox,15,common,orthodox
199,1.9150790953498553,concept,21,common,concepts
200,1.9150790953498553,refer,14,common,refers
201,1.9040292591632704,anderson,10,common,anderson
202,1.8981295370360822,possess,13,common,possess
203,1.8787114511789804,edith,3,common,edith
204,1.8787114511789804,label,3,common,labeling
205,1.8787114511789804,playground,3,common,playground
206,1.8787114511789804,traditionalist,3,common,traditionalist
207,1.8787114511789804,theori,15,common,theories
208,1.8787114511789804,buddha,6,common,buddha
209,1.8787114511789804,tao,3,common,tao
210,1.8787114511789804,populac,3,common,populace
211,1.8787114511789804,nemesi,3,common,nemesis
212,1.8787114511789804,canterburi,3,common,canterbury
213,1.8787114511789804,robe,3,common,robes
214,1.8787114511789804,selfish,6,common,selfish
215,1.8787114511789804,scholarli,6,common,scholarly
216,1.8787114511789804,embed,3,common,embedded
217,1.8787114511789804,cynic,3,common,cynicism
218,1.8787114511789804,catholic,6,common,catholicism
219,1.8787114511789804,republican,3,common,republicanism
220,1.8787114511789804,bliss,3,common,bliss
221,1.8787114511789804,redempt,3,common,redemption
222,1.8787114511789804,cleans,3,common,cleansing
223,1.8787114511789804,apostol,3,common,apostolic
224,1.8787114511789804,unnatur,6,common,unnatural
225,1.8787114511789804,inflict,3,common,inflicted
226,1.8787114511789804,verb,3,common,verb
227,1.8787114511789804,conclud,3,common,concludes
228,1.8787114511789804,dime,3,common,dime
229,1.8787114511789804,sexual,3,common,sexuality
230,1.8726324051025984,cultur,41,common,cultural
231,1.864526816187024,moral,105,common,moral
232,1.86218214922777,greek,45,common,greek
233,1.8527359647757198,philosoph,19,common,philosophical
234,1.8299212870095485,vaniti,5,common,vanity
235,1.8299212870095485,biolog,5,common,biology
236,1.8299212870095485,initi,5,common,initiation
237,1.8299212870095485,moral,5,common,morals
238,1.8299212870095485,generos,5,common,generosity
239,1.8180868293625456,view,36,common,views
240,1.8180868293625456,divin,24,common,divine
241,1.8180868293625456,christian,12,common,christians
242,1.809718579692029,frame,7,common,framing
243,1.798668743505444,ethnic,9,common,ethnic
244,1.7834012713746556,wisdom,30,common,wisdom
245,1.7609284155225973,possess,4,common,possessing
246,1.7609284155225973,propon,4,common,proponents
247,1.7609284155225973,advoc,4,common,advocating
248,1.7609284155225973,practition,4,common,practitioners
249,1.7609284155225973,oral,18,common,oral
250,1.7609284155225973,thinker,4,common,thinkers
251,1.760928415522597,challeng,6,common,challenged
252,1.760928415522597,command,10,common,commands
253,1.760928415522597,write,10,common,writings
254,1.760928415522597,birthday,12,common,birthday
255,1.760928415522597,joke,6,common,jokes
256,1.760928415522597,version,6,common,versions
257,1.760928415522597,sorrow,6,common,sorrow
258,1.760928415522597,bernard,6,common,bernard
259,1.7451800585544577,eat,21,common,eating
260,1.7245607713517221,custom,9,common,custom
261,1.7144083998877042,describ,14,common,describes
262,1.7144083998877042,scriptur,7,common,scriptures
263,1.7144083998877042,origin,28,common,origin
264,1.6963898943850257,cushion,5,common,cushion
265,1.6963898943850257,promin,5,common,prominently
266,1.6963898943850257,fresco,5,common,fresco
267,1.6963898943850257,collector,5,common,collector
268,1.6963898943850257,jacqu,5,common,jacques
269,1.6926091715451197,sin,33,common,sin
270,1.6808857078490607,lowest,8,common,lowest
271,1.6808857078490607,disposit,8,common,disposition
272,1.6808857078490607,media,8,common,media
273,1.6723750181811523,charact,72,common,character
274,1.6555678998647707,altar,3,common,altar
275,1.6555678998647707,forgiv,9,common,forgiveness
276,1.6555678998647707,prophet,3,common,prophet
277,1.6555678998647707,inconsist,3,common,inconsistent
278,1.6555678998647707,jonathan,3,common,jonathan
279,1.6555678998647707,joke,3,common,joking
280,1.6555678998647707,greek,3,common,greeks
281,1.6555678998647707,adher,3,common,adherents
282,1.6555678998647707,quotat,3,common,quotations
283,1.6555678998647707,canon,3,common,canon
284,1.6555678998647707,esteem,3,common,esteem
285,1.6403004277339825,ad,13,common,adding
286,1.6323110377005035,cultur,34,common,culture
287,1.6273970228980745,puriti,7,common,purity
288,1.6198498172626916,definit,22,common,definition
289,1.6184283529153138,spiritu,37,common,spiritual
290,1.6178275718819237,includ,26,common,includes
