,Score,Stem,Tf,Type,Word
0,5.947360223590477,environment,1928,common,environmental
1,5.947360223590477,ecosystem,377,specific,
2,5.947360223590477,biodivers,316,specific,
3,5.4425245770112625,global,665,common,global
4,4.924151747609889,vietnam,297,common,vietnam
5,4.743041578002231,citat,413,common,citation
6,4.537448915957247,labour,269,common,labour
7,4.4657971755813515,mystic,313,common,mystical
8,4.377914085620642,hindu,172,common,hindu
9,4.371643009894576,displaystyl,199,specific,
10,4.330895606903234,non,547,common,non
11,4.324169809613951,portal,163,common,portal
12,4.294279664140743,sustain,791,common,sustained
13,4.293014641834156,muslim,158,common,muslim
14,4.293014641834156,pollut,316,common,pollution
15,4.280275616056726,islam,156,common,islam
16,4.138863962006898,enlighten,316,common,enlightened
17,4.10561693200834,extinct,131,common,extinction
18,4.054725324711952,quaker,166,common,quakers
19,4.024141901339871,equal,483,common,equality
20,3.975351737170439,marxist,115,common,marxist
21,3.9600173731703325,buddhist,151,common,buddhist
22,3.9533728304516638,unitarian,300,common,unitarian
23,3.950291163914256,conserv,486,common,conservation
24,3.912550835931409,mid,108,common,mid
25,3.8938587029192564,pacif,106,common,pacifism
26,3.8355897947952804,impact,100,common,impacts
27,3.8355897947952804,islam,100,common,islamic
28,3.8255394589417793,web,198,common,web
29,3.794767800275025,interact,96,common,interactions
30,3.78429650040773,zealand,95,common,zealand
31,3.7077564232853955,resourc,264,common,resource
32,3.6876696647186584,archiv,115,common,archives
33,3.675421042642459,templat,142,common,template
34,3.6730708652975057,indigen,85,common,indigenous
35,3.652267737667742,text,111,common,texts
36,3.6124462434810707,behaviour,80,common,behaviour
37,3.6061766304674756,dialect,159,common,dialectic
38,3.5998674612742105,toxic,79,common,toxic
39,3.5677103496396794,scriptur,102,common,scripture
40,3.56115294909352,iraq,76,common,iraq
41,3.5153845306379394,co,121,common,co
42,3.5070857278232443,buddhism,216,common,buddhism
43,3.5070857278232443,organ,168,common,organisms
44,3.5011155608367406,biolog,167,common,biology
45,3.473184176147563,liber,116,common,liberation
46,3.4645261134044487,perspect,69,common,perspectives
47,3.4645261134044483,genet,115,common,genetic
48,3.435112228198155,protocol,67,common,protocol
49,3.433618575941372,retriev,223,common,retrieved
50,3.4276215564689974,teach,133,common,teachings
51,3.4048068787028263,socialist,455,common,socialist
52,3.397084832608916,social,430,common,socialism
53,3.365586165549545,induct,125,common,induction
54,3.361578144152006,evolutionari,83,common,evolutionary
55,3.338948806021246,interfaith,142,common,interfaith
56,3.32476417102929,evangel,100,common,evangelical
57,3.3147138351757883,green,99,common,greens
58,3.3135908704311645,human,178,common,humans
59,3.3045614637117704,luther,98,common,luther
60,3.2930154727147096,renew,155,common,renewal
61,3.2734708766417393,contest,57,common,contested
62,3.2734708766417393,netherland,57,common,netherlands
63,3.2734708766417393,resist,76,common,resistant
64,3.2571439833543105,divers,243,common,diversity
65,3.23775279403966,offset,165,common,offset
66,3.223898044959303,speci,669,common,species
67,3.2194036553714636,incorpor,54,common,incorporates
68,3.2194036553714636,nobel,126,common,nobel
69,3.200711522359311,veget,53,common,vegetation
70,3.1816633273886166,coven,52,common,covenant
71,3.1784530517583685,religion,311,common,religions
72,3.1622452415315148,advoc,68,common,advocated
73,3.1474301557463744,truth,67,common,truths
74,3.1474301557463744,brethren,134,common,brethren
75,3.1222399069178155,homosexu,49,common,homosexuals
76,3.1222399069178155,quaker,98,common,quaker
77,3.1222399069178155,deduct,49,common,deductive
78,3.10162061971508,coin,48,common,coined
79,3.0911493198477844,capitalist,95,common,capitalist
80,3.0840248578247005,environ,676,common,environment
81,3.080567210517248,methodolog,47,common,methodological
82,3.059061005296284,individualist,46,common,individualist
83,3.059061005296284,advocaci,46,common,advocacy
84,3.059061005296284,faith,46,common,faiths
85,3.0370820985775087,ideolog,45,common,ideologies
86,3.0315916350022687,eco,138,specific,
87,3.0202749802611275,reason,236,common,reasoning
88,3.0202749802611275,armistic,59,common,armistice
89,3.0202749802611275,regul,59,common,regulating
90,3.01460924272545,perenni,88,common,perennial
91,2.995656056923212,discrimin,331,common,discrimination
92,2.9916197245007514,protect,43,common,protecting
93,2.9916197245007514,transcendent,43,common,transcendental
94,2.985788804189958,conceptu,57,common,conceptual
95,2.9769781745078037,ensur,113,common,ensure
96,2.9736396576212067,right,1084,common,rights
97,2.9680892270905574,philosoph,126,common,philosophers
98,2.959120557107797,marx,111,common,marx
99,2.9537004896384578,hazard,69,common,hazardous
100,2.9537004896384578,doctrin,69,common,doctrines
101,2.9512821087741763,conscious,413,common,consciousness
102,2.9500707215878794,disciplin,55,common,disciplines
103,2.943991675511497,updat,41,common,updated
104,2.9317215829196828,pragmat,54,common,pragmatic
105,2.9192990629211253,substant,40,common,substantive
106,2.9192990629211253,highlight,40,common,highlights
107,2.9192990629211253,definit,80,common,definitions
108,2.9016441276824048,topic,131,common,topics
109,2.893981254936836,epistemolog,39,common,epistemology
110,2.893981254936836,emerg,39,common,emergence
111,2.893981254936836,research,52,common,researchers
112,2.8869636822781892,australia,142,common,australia
113,2.8829314187502506,ban,90,common,ban
114,2.874563169079734,dialogu,153,common,dialogue
115,2.8732551244197184,univers,573,common,universal
116,2.862728711432731,discours,126,common,discourse
117,2.854760541783554,treati,50,common,treaties
118,2.854760541783554,thinker,75,common,thinkers
119,2.8516788752461464,analog,162,common,analogy
120,2.8511175505050534,protest,137,common,protests
121,2.841337521451414,origen,37,common,origen
122,2.8374690446734934,infer,86,common,inference
123,2.8345578344660347,demonstr,49,common,demonstrations
124,2.8285373466844517,econom,207,common,economics
125,2.8243013342988457,bia,97,common,bias
126,2.82032834536207,climat,314,common,climate
127,2.8139385472632994,neural,36,common,neural
128,2.8139385472632994,sub,60,common,sub
129,2.8034672473960036,implement,95,common,implementation
130,2.799952305288559,propon,71,common,proponents
131,2.797131428946918,agenda,59,common,agenda
132,2.785767670296603,nich,35,common,niche
133,2.785767670296603,endang,35,common,endangering
134,2.7800369955876176,disabl,58,common,disability
135,2.7713789328445033,verif,46,common,verification
136,2.7713789328445033,challeng,46,common,challenges
137,2.7567801334233506,behavior,34,common,behavioral
138,2.749400026125728,denmark,45,common,denmark
139,2.749400026125728,assassin,45,common,assassination
140,2.743320980049346,framework,123,common,framework
141,2.7398305751095773,convent,312,common,convention
142,2.731246831418186,tradit,232,common,traditions
143,2.7269271702736693,clement,33,common,clements
144,2.7269271702736693,un,143,common,un
145,2.7269271702736693,emphas,33,common,emphasizes
146,2.7269271702736693,psycholog,154,common,psychology
147,2.7269271702736693,dynam,44,common,dynamics
148,2.7269271702736693,environ,44,common,environments
149,2.7223713537378087,found,219,common,founded
150,2.71520370657761,self,424,common,self
151,2.7039376520489706,chemic,43,common,chemicals
152,2.6977988973506455,theolog,203,common,theology
153,2.6922416122857795,brazil,85,common,brazil
154,2.6922416122857795,popul,85,common,populations
155,2.6871868416241553,canadian,74,common,canadian
156,2.6804071546387767,humanist,42,common,humanist
157,2.6735811895683765,capit,146,common,capitalism
158,2.6724389849895998,focus,125,common,focused
159,2.670837703622626,argu,104,common,argues
160,2.670837703622626,advoc,156,common,advocate
161,2.6684309635920607,creed,83,common,creed
162,2.656309603059716,commun,41,common,commune
163,2.656309603059716,rank,41,common,ranked
164,2.65359589718812,conflict,92,common,conflicts
165,2.6514196177655243,canon,51,common,canon
166,2.6387344582382086,habitat,141,common,habitat
167,2.6316169904693445,lenin,60,common,lenin
168,2.6316169904693445,domain,30,common,domains
169,2.6316169904693445,asian,100,common,asian
170,2.6316169904693445,logic,170,common,logic
171,2.6316169904693445,categor,30,common,categorical
172,2.6316169904693445,triniti,50,common,trinity
173,2.6316169904693445,explicitli,60,common,explicitly
174,2.6148098721529633,arab,59,common,arabic
175,2.6062991824850545,inclus,39,common,inclusive
176,2.6062991824850545,societ,39,common,societal
177,2.597715438793663,reform,29,common,reformed
178,2.5940790711502792,orthodox,183,common,orthodox
179,2.5927771571530807,govern,202,common,governing
180,2.5878143678109518,origin,67,common,origins
181,2.586881096627953,influenc,153,common,influenced
182,2.580323696081794,organ,57,common,organism
183,2.572776490446411,spain,66,common,spain
184,2.5681035847470186,coupl,122,common,couples
185,2.5626241189823933,fair,56,common,fairness
186,2.5626241189823933,condit,28,common,conditional
187,2.5626241189823933,ideal,28,common,idealism
188,2.557509018315623,influenti,130,common,influential
189,2.5536554489996326,encompass,37,common,encompass
190,2.5536554489996326,rio,37,common,rio
191,2.5482353815302936,exploit,46,common,exploitation
192,2.526256474811518,buddha,72,common,buddha
193,2.526256474811518,reform,45,common,reformation
194,2.526256474811518,problemat,27,common,problematic
195,2.526256474811518,lutheran,27,common,lutheran
196,2.526256474811518,yearli,108,common,yearly
197,2.526256474811518,utilitarian,27,common,utilitarian
198,2.526256474811518,identifi,27,common,identifying
199,2.5227782104351935,movement,1148,common,movement
200,2.509317959083477,philosophi,761,common,philosophy
201,2.5075643417993656,deplet,53,common,depletion
202,2.5002809884082575,philosoph,228,common,philosophical
203,2.499988547990908,carbon,263,common,carbon
204,2.4980855978448218,modif,35,common,modification
205,2.4980855978448218,sexual,35,common,sexuality
206,2.4980855978448218,prophet,35,common,prophets
207,2.493995612593297,anthropolog,61,common,anthropology
208,2.488516146828671,ocean,26,common,oceans
209,2.485013516277469,strategi,190,common,strategy
210,2.4825814113088565,media,112,common,media
211,2.480794100734761,legal,43,common,legally
212,2.4788542359169345,activ,103,common,actively
213,2.4690980609715694,affirm,34,common,affirmative
214,2.4690980609715694,initi,102,common,initiated
215,2.4690980609715694,hypothes,34,common,hypotheses
216,2.46516878283168,write,127,common,writings
217,2.457263603324567,enhanc,42,common,enhance
218,2.457263603324567,founder,84,common,founder
219,2.450673793645511,argu,242,common,argued
220,2.4492954336753896,attribut,25,common,attributing
221,2.4492954336753896,inher,25,common,inherently
222,2.4492954336753896,conserv,25,common,conserve
223,2.4492954336753896,monitor,25,common,monitor
224,2.445287412277851,biolog,166,common,biological
225,2.443564758966405,sex,696,common,sex
226,2.4392450978218885,analog,33,common,analogies
227,2.4392450978218885,implement,33,common,implement
228,2.4392450978218885,baptism,33,common,baptism
229,2.4392450978218885,ethic,33,common,ethic
230,2.4392450978218885,common,33,common,commons
231,2.4392450978218885,traditionalist,33,common,traditionalist
232,2.420895959153692,landscap,162,common,landscape
233,2.408473439155135,philippin,32,common,philippines
234,2.408473439155135,nutrient,40,common,nutrients
235,2.408473439155135,isra,32,common,israeli
236,2.408473439155135,hegelian,24,common,hegelian
237,2.408473439155135,challeng,72,common,challenged
238,2.408473439155135,nation,24,common,nationality
239,2.3966854834030924,spiritu,506,common,spiritual
240,2.3927250821869954,philosoph,126,common,philosopher
241,2.3874200299573025,economist,47,common,economist
242,2.383155631170845,adher,39,common,adherents
243,2.3767247408405545,simon,31,common,simon
244,2.3767247408405545,austria,31,common,austria
245,2.3767247408405545,portug,31,common,portugal
246,2.37210579498426,equiti,54,common,equity
247,2.3697589269744443,term,608,common,term
248,2.3659138247363387,cinema,23,common,cinema
249,2.3659138247363387,complianc,46,common,compliance
250,2.3659138247363387,cue,23,common,cues
251,2.3659138247363387,mammal,23,common,mammals
252,2.3659138247363387,univers,23,common,universality
253,2.3659138247363387,precept,23,common,precepts
254,2.3659138247363387,doctrin,23,common,doctrinal
255,2.3583236554696634,belief,175,common,beliefs
256,2.357180144767584,defin,38,common,defines
257,2.357180144767584,legaci,38,common,legacy
258,2.357180144767584,minor,38,common,minorities
259,2.357180144767584,organiz,38,common,organizational
260,2.3546302071343117,christian,235,common,christianity
261,2.3505819198930635,racism,107,specific,
262,2.3439349180175637,chariti,60,common,charity
263,2.3364999395300456,karl,67,common,karl
264,2.3343654670014127,innov,52,common,innovation
265,2.3327616174194383,access,178,common,access
266,2.330511897685423,journal,37,common,journals
267,2.330511897685423,sweden,74,common,sweden
268,2.330511897685423,migrat,37,common,migration
269,2.324703556089676,evolut,103,common,evolution
270,2.323512744003234,intern,1139,common,international
271,2.321462062165505,repent,22,common,repent
272,2.321462062165505,salvador,22,common,salvador
273,2.321462062165505,divin,22,common,divinely
274,2.321462062165505,freedom,22,common,freedoms
275,2.3186171100332738,parliament,117,common,parliament
276,2.3119472425241665,resourc,523,common,resources
277,2.3113096907014867,concept,196,common,concepts
278,2.2994831554467297,protest,165,common,protest
279,2.298472543940806,democraci,172,common,democracy
280,2.298472543940806,practition,43,common,practitioners
281,2.2951447538481315,broadli,50,common,broadly
282,2.2951447538481315,particip,50,common,participants
283,2.2891266815225686,seek,71,common,seeks
284,2.2833102962011287,christian,120,common,christians
285,2.274942046530612,ozon,21,common,ozone
286,2.274942046530612,pagan,28,common,pagan
287,2.274942046530612,malta,21,common,malta
288,2.274942046530612,esoter,28,common,esoteric
289,2.274942046530612,suffrag,35,common,suffrage
290,2.274942046530612,discriminatori,21,common,discriminatory
291,2.274942046530612,facilit,35,common,facilitate
292,2.2629658554838965,declar,166,common,declaration
293,2.260553309078513,theori,138,common,theories
294,2.258941705184171,toler,62,common,tolerance
295,2.248624738213239,michael,75,common,michael
296,2.2459545096573597,scale,34,common,scales
297,2.2459545096573597,landscap,34,common,landscapes
298,2.2385744023597374,harm,27,common,harmful
299,2.2385744023597374,heterogen,27,common,heterogeneous
300,2.2385744023597374,gregori,27,common,gregory
301,2.235860696488141,commun,276,common,communities
302,2.2261518823611803,agreement,100,common,agreements
303,2.2261518823611803,black,20,common,blacks
304,2.2261518823611803,matt,20,common,matt
305,2.2261518823611803,mystic,20,common,mystic
306,2.2261518823611803,debat,40,common,debates
307,2.2261518823611803,abraham,40,common,abraham
308,2.2261518823611803,atheist,20,common,atheists
309,2.2261518823611803,refer,120,common,refers
310,2.2261518823611803,struggl,20,common,struggles
311,2.2261518823611803,feder,100,common,federation
312,2.2261518823611803,illeg,60,common,illegal
313,2.2261518823611803,orthodoxi,20,common,orthodoxy
314,2.2261518823611803,constantinopl,20,common,constantinople
315,2.2261518823611803,militar,20,common,militarism
316,2.2161015465076788,pillar,33,common,pillars
317,2.2161015465076788,theologian,33,common,theologian
318,2.2161015465076788,energi,660,common,energy
319,2.2063135401415157,african,183,common,african
320,2.2008340743768904,intern,26,common,internationally
321,2.2008340743768904,ratifi,26,common,ratified
322,2.2008340743768904,augustin,26,common,augustine
323,2.2008340743768904,gravit,26,common,gravitational
324,2.1867493344951514,peac,1269,common,peace
325,2.185329887840925,coher,32,common,coherent
326,2.185329887840925,evolv,32,common,evolve
327,2.185329887840925,rhetor,32,common,rhetoric
328,2.1803834639055992,ethic,121,common,ethics
329,2.1748585879736297,australian,57,common,australian
330,2.1748585879736297,academi,19,common,academies
331,2.1748585879736297,transcend,38,common,transcends
332,2.1748585879736297,exemplifi,19,common,exemplified
333,2.1748585879736297,reproduct,38,common,reproduction
334,2.1748585879736297,antiqu,19,common,antiquity
335,2.1748585879736297,terminolog,38,common,terminology
336,2.1748585879736297,contamin,19,common,contaminated
337,2.1748585879736297,sensori,57,common,sensory
338,2.1733094009868004,divin,215,common,divine
339,2.1692437500893007,movement,296,common,movements
340,2.161613361223609,promot,25,common,promotes
341,2.161613361223609,taoism,25,common,taoism
342,2.161613361223609,endors,25,common,endorsed
343,2.155882686514624,regul,87,common,regulation
344,2.1535811895263444,access,31,common,accessible
345,2.1535811895263444,geographi,31,common,geography
