,Score,Stem,Tf,Type,Word
0,6.149477545236178,environment,1919,common,environmental
1,6.149477545236178,ecosystem,377,specific,
2,6.149477545236178,biodivers,316,specific,
3,5.617232563268254,global,644,common,global
4,5.1240096022629125,displaystyl,194,specific,
5,4.73678249556415,labour,267,common,labour
6,4.554011399540328,citat,278,common,citation
7,4.4998109426426485,pollut,316,common,pollution
8,4.490910693172384,sustain,783,common,sustained
9,4.335055709566593,portal,134,common,portal
10,4.2970283139773535,extinct,129,common,extinction
11,4.224707652397727,non,400,common,non
12,4.184629428830317,enlighten,269,common,enlightened
13,4.175604939389996,equal,457,common,equality
14,4.157087464722748,conserv,486,common,conservation
15,4.1467461109280155,marxist,111,common,marxist
16,4.032335759750271,impact,99,common,impacts
17,4.022183388286254,pacif,98,common,pacifism
18,3.9698154027689374,mid,93,common,mid
19,3.9370255799459466,vietnam,90,common,vietnam
20,3.9107576531253363,resourc,263,common,resource
21,3.9031240282702653,interact,87,common,interactions
22,3.8129729312759677,dialect,159,common,dialectic
23,3.806663762082703,zealand,79,common,zealand
24,3.806663762082703,toxic,79,common,toxic
25,3.699895786656997,indigen,71,common,indigenous
26,3.6958635231290584,organ,165,common,organisms
27,3.6821333303171566,buddhist,93,common,buddhist
28,3.671322414212941,genet,115,common,genetic
29,3.671322414212941,biolog,161,common,biology
30,3.6567236147917885,behaviour,68,common,behaviour
31,3.6567236147917885,iraq,68,common,iraq
32,3.626870651642107,protocol,66,common,protocol
33,3.6185016263403047,eco,137,specific,
34,3.6071978860434024,socialist,453,common,socialist
35,3.589829379961758,social,424,common,socialism
36,3.548089773788993,perspect,61,common,perspectives
37,3.511357764520263,green,98,common,greens
38,3.5011012643530735,co,97,common,co
39,3.4976589201621007,hindu,58,common,hindu
40,3.458989779002947,templat,93,common,template
41,3.4445490948481523,offset,165,common,offset
42,3.43541661128488,induct,109,common,induction
43,3.426199956179956,liber,90,common,liberation
44,3.426199956179956,contest,54,common,contested
45,3.426199956179956,evolutionari,72,common,evolutionary
46,3.419231286863863,renew,143,common,renewal
47,3.418664125491253,speci,661,common,species
48,3.3884596281971087,web,104,common,web
49,3.38364034176116,resist,69,common,resistant
50,3.3690415423400073,retriev,170,common,retrieved
51,3.3492389150438275,netherland,50,common,netherlands
52,3.3415168689499173,divers,215,common,diversity
53,3.3084169205235723,veget,48,common,vegetation
54,3.3084169205235723,deduct,48,common,deductive
55,3.2903984150208943,nobel,110,common,nobel
56,3.269893638527237,environ,662,common,environment
57,3.2658573061047766,islam,46,common,islamic
58,3.2549282355725864,capitalist,91,common,capitalist
59,3.251258506683624,human,136,common,humans
60,3.243878399386001,individualist,45,common,individualist
61,3.22707128106962,advoc,59,common,advocated
62,3.22707128106962,regul,59,common,regulating
63,3.22707128106962,armistic,59,common,armistice
64,3.2214055435339426,coin,44,common,coined
65,3.198416025309244,methodolog,43,common,methodological
66,3.198416025309244,incorpor,43,common,incorporates
67,3.1748855278990495,advocaci,42,common,advocacy
68,3.1604967904469503,hazard,69,common,hazardous
69,3.1560761959415538,discrimin,316,common,discrimination
70,3.1507879763199895,ideolog,41,common,ideologies
71,3.1292154910658616,marx,107,common,marx
72,3.126095363729618,protect,40,common,protecting
73,3.126095363729618,homosexu,40,common,homosexuals
74,3.126095363729618,islam,40,common,islam
75,3.1198257507160227,ensur,106,common,ensure
76,3.100777555745328,text,52,common,texts
77,3.0921938120539365,buddhism,116,common,buddhism
78,3.0748020693420672,substant,38,common,substantive
79,3.0715071734452146,reason,202,common,reasoning
80,3.0413541352745272,treati,49,common,treaties
81,3.0271246461705625,climat,314,common,climate
82,3.0239763419959624,right,927,common,rights
83,3.0207348480717915,research,48,common,researchers
84,3.0207348480717915,bia,96,common,bias
85,3.0207348480717915,updat,36,common,updated
86,3.0158208332693626,econom,203,common,economics
87,2.999681438873959,implement,94,common,implementation
88,2.992563971105095,highlight,35,common,highlights
89,2.992563971105095,endang,35,common,endangering
90,2.992563971105095,nich,35,common,niche
91,2.984367203900917,infer,81,common,inference
92,2.984367203900917,ban,81,common,ban
93,2.963576434231843,perenni,68,common,perennial
94,2.9561963269342204,conceptu,45,common,conceptual
95,2.9487613484467023,definit,67,common,definitions
96,2.933723471082162,muslim,33,common,muslim
97,2.933723471082162,dynam,44,common,dynamics
98,2.933723471082162,pragmat,44,common,pragmatic
99,2.933723471082162,disabl,55,common,disability
100,2.933723471082162,disciplin,44,common,disciplines
101,2.924590987518889,discours,109,common,discourse
102,2.915374332413965,mystic,54,common,mystical
103,2.915374332413965,topic,108,common,topics
104,2.910733952857463,denmark,43,common,denmark
105,2.910733952857463,environ,43,common,environments
106,2.9086175499510856,australia,118,common,australia
107,2.902951812415408,behavior,32,common,behavioral
108,2.9001068602831768,framework,117,common,framework
109,2.8872034554472688,challeng,42,common,challenges
110,2.8872034554472688,chemic,42,common,chemicals
111,2.8872034554472688,popul,84,common,populations
112,2.877634004431118,sub,52,common,sub
113,2.875227264400553,brazil,83,common,brazil
114,2.8631059038682083,convent,287,common,convention
115,2.858215918574017,agenda,51,common,agenda
116,2.8536807634086254,un,132,common,un
117,2.8525979262697936,capit,142,common,capitalism
118,2.8455307590467007,habitat,141,common,habitat
