,Score,Stem,Tf,Type,Word
0,5.178312053701676,adulteri,97,common,adultery
1,5.116655972278578,polit,152,common,politeness
2,5.046252331688609,etiquett,85,common,etiquette
3,4.762484158557965,coven,64,common,covenant
4,4.697945637420394,tablet,60,common,tablet
5,4.6466523430328435,exodu,76,common,exodus
6,4.453748676908352,behaviour,47,common,behaviour
7,4.438434441935309,idol,108,common,idol
8,4.04401917001373,citat,52,common,citation
9,3.970896905184767,behavior,29,common,behavioral
10,3.970896905184767,interact,29,common,interactions
11,3.9214168479213973,authoritarian,46,common,authoritarian
12,3.756337097561949,templat,39,common,template
13,3.7499062072316582,pieti,31,common,piety
14,3.7171163844086674,matthew,30,common,matthew
15,3.676294389888412,steal,36,common,steal
16,3.611755868750841,calvin,27,common,calvin
17,3.606450816521148,particip,47,common,participants
18,3.5058072907414606,god,85,common,gods
19,3.4939728330944577,corpor,24,common,corporal
20,3.4939728330944577,polit,42,common,polite
21,3.4771657147780766,norm,59,common,norm
22,3.436814419254509,jeremiah,17,common,jeremiah
23,3.436814419254509,portal,17,common,portal
24,3.38998311957041,disciplin,146,common,discipline
25,3.367221127455314,thou,74,common,thou
26,3.344441099123494,cultur,62,common,cultures
27,3.311651276300503,homosexu,15,common,homosexuals
28,3.303283026629986,norm,119,common,norms
29,3.2914485689829838,non,49,common,non
30,3.2471127551629317,conform,75,common,conformity
31,3.212444626217055,command,326,common,command
32,3.206290760642677,hebrew,45,common,hebrew
33,3.1902904192962356,regard,31,common,regards
34,3.1838179047906183,reform,22,common,reformation
35,3.1781198836759805,assimil,35,common,assimilation
36,3.16855043265983,conform,13,common,conformed
37,3.16855043265983,spous,13,common,spouse
38,3.149132346802728,exil,17,common,exile
39,3.1372978891557253,israel,63,common,israel
40,3.115906699174408,mose,37,common,moses
41,3.109127012189029,thi,49,common,thy
42,3.0885077249862936,precept,12,common,precepts
43,3.0521400808154184,reinforc,27,common,reinforced
44,3.0397175608168614,punish,80,common,punishment
45,3.023969203848722,reward,15,common,rewards
46,3.01789015777234,strategi,82,common,strategy
47,2.983147209328467,manner,54,common,manners
48,2.954976332361771,genesi,14,common,genesis
49,2.954976332361771,text,14,common,texts
50,2.954976332361771,prophet,14,common,prophets
51,2.954976332361771,buddhist,14,common,buddhist
52,2.9259887954885184,retriev,34,common,retrieved
53,2.9259887954885184,forbid,17,common,forbids
54,2.9061861681923387,unjust,10,common,unjust
55,2.9061861681923387,violat,10,common,violations
56,2.9061861681923387,swear,10,common,swearing
57,2.8653641736720834,prophet,16,common,prophet
58,2.844310764474251,parent,47,common,parent
59,2.8008256525345123,luther,15,common,luther
60,2.8008256525345123,perspect,9,common,perspectives
61,2.8008256525345123,indigen,9,common,indigenous
62,2.8008256525345123,sin,9,common,sinful
63,2.8008256525345123,cue,9,common,cues
64,2.8008256525345123,rigor,21,common,rigorous
65,2.8008256525345123,hug,9,common,hug
66,2.8008256525345123,talmud,12,common,talmud
67,2.791523259872199,worship,107,common,worship
68,2.7391320835291726,self,110,common,self
69,2.7138142755448826,immigr,11,common,immigrant
70,2.7138142755448826,augustin,11,common,augustine
71,2.7138142755448826,verif,11,common,verification
72,2.7138142755448826,research,11,common,researchers
73,2.683042616878129,oath,8,common,oaths
74,2.683042616878129,goddess,8,common,goddess
75,2.683042616878129,corinthian,8,common,corinthians
76,2.683042616878129,avoid,8,common,avoids
77,2.683042616878129,steal,16,common,stealing
78,2.683042616878129,frontal,8,common,frontal
79,2.66729425990999,behavior,252,common,behavior
80,2.657724808893839,vain,26,common,vain
81,2.657724808893839,lust,13,common,lust
