,Score,Stem,Tf,Type,Word
0,5.559893711004166,utilitarian,247,common,utilitarian
1,5.254512061452985,arous,182,common,arousal
2,5.005325889366048,orgasm,331,common,orgasm
3,4.966829989001203,jealousi,182,common,jealousy
4,4.910317778737862,apathi,129,common,apathy
5,4.807537909673527,citat,194,common,citation
6,4.452334636346251,lust,136,common,lust
7,4.430028878831952,awe,133,common,awe
8,4.332591560861584,happi,555,common,happiness
9,4.29080384922137,disord,162,common,disorder
10,4.22048735080391,envi,151,common,envy
11,4.193640100767722,behavior,63,common,behavioral
12,4.066888395128578,research,74,common,researchers
13,4.05783855960866,trait,55,common,trait
14,4.056018722891674,grief,183,common,grief
15,3.982331007100515,interact,51,common,interactions
16,3.942325672486816,behaviour,49,common,behaviour
17,3.857167864146509,loneli,135,common,loneliness
18,3.8346950082944504,interperson,44,common,interpersonal
19,3.811705490069752,pathway,43,common,pathways
20,3.808377699977077,psycholog,200,common,psychology
21,3.802359627651514,templat,71,common,template
22,3.788174992659558,gratitud,126,common,gratitude
23,3.7881749926595574,mania,70,common,mania
24,3.7701564871568793,evolutionari,55,common,evolutionary
25,3.7518073484886827,embarrass,108,common,embarrassment
26,3.7393848284901257,humili,80,common,humiliation
27,3.7348290119542646,reject,146,common,rejection
28,3.729334492636624,genet,66,common,genetic
29,3.7225777101737445,regret,118,common,regret
30,3.7011636156699277,sad,77,common,sadness
31,3.6340243128322993,bereav,48,common,bereavement
32,3.6200380708575595,pleasur,71,common,pleasures
33,3.605853435865603,ecstasi,70,common,ecstasy
34,3.5470129358426696,correl,33,common,correlate
35,3.5376451858390694,self,425,common,self
36,3.530345883357458,boredom,119,common,boredom
37,3.528663797174473,esteem,54,common,esteem
38,3.524023417617971,outrag,43,common,outrage
39,3.50576997730862,human,95,common,humans
40,3.490923469191626,stimuli,52,common,stimuli
41,3.4844925788613352,correl,31,common,correlated
42,3.4682320579895554,hostil,61,common,hostility
43,3.4607525915582626,leisur,111,common,leisure
44,3.451702756038345,sorrow,90,common,sorrow
45,3.4517027560383444,neural,30,common,neural
46,3.427605204459284,shame,205,common,shame
47,3.4146614843579957,mill,106,common,mill
48,3.4108807615180896,intrins,48,common,intrinsic
49,3.3898273523202573,oneself,47,common,oneself
50,3.382709884551393,sadism,28,common,sadism
51,3.382709884551393,maxim,28,common,maximizes
52,3.3775947838846228,cortex,65,common,cortex
53,3.3620905973486575,particip,64,common,participants
54,3.3463422403805185,disord,63,common,disorders
55,3.3463422403805185,trait,54,common,traits
56,3.327650107368366,depress,212,common,depression
57,3.300879866303761,attach,43,common,attachment
58,3.263650524535405,experienc,58,common,experiencing
59,3.2620818967627785,motiv,91,common,motivation
60,3.2613490275471255,contempt,124,common,contempt
61,3.2593308633908884,challeng,33,common,challenges
62,3.2476073996948296,stimul,106,common,stimulation
63,3.2285592047241347,gratif,32,common,gratification
64,3.2285592047241347,diagnos,24,common,diagnose
65,3.2285592047241347,impair,32,common,impair
66,3.2159804225172746,non,79,common,non
67,3.2105406992214567,vagin,55,common,vaginal
68,3.205569686499436,frustrat,86,common,frustration
69,3.201408215658184,symptom,109,common,symptoms
70,3.195769381901144,pleasur,480,common,pleasure
71,3.185999590305339,griev,23,common,grieving
72,3.185999590305339,perspect,23,common,perspectives
73,3.185999590305339,stoic,23,common,stoic
74,3.175070519773149,perceiv,91,common,perceived
75,3.1640206835865636,distrust,45,common,distrust
76,3.141547827734505,abnorm,22,common,abnormal
77,3.1301191319108823,sexual,29,common,sexuality
78,3.1284757461671524,anxieti,304,common,anxiety
79,3.1092124470915685,argu,71,common,argues
80,3.0950278120996124,piti,98,common,pity
81,3.0950278120996124,harm,28,common,harmful
82,3.079027470753171,annoy,62,common,annoyance
83,3.0462376479301803,psychopath,20,common,psychopathic
84,3.0462376479301803,psychiatri,20,common,psychiatry
85,2.9949443535426297,cultur,76,common,cultures
86,2.9889455353133765,pain,554,common,pain
87,2.940877132272354,cue,18,common,cues
88,2.940877132272354,spous,18,common,spouse
89,2.940877132272354,islam,18,common,islam
90,2.898317517853558,feedback,23,common,feedback
91,2.898317517853558,rage,92,common,rage
92,2.8538657552827242,anguish,44,common,anguish
93,2.833456883651517,subject,97,common,subjective
94,2.8230940966159705,intimaci,16,common,intimacy
95,2.8230940966159705,mammal,16,common,mammals
96,2.8230940966159705,confucian,16,common,confucianism
97,2.8230940966159705,definit,32,common,definitions
98,2.8230940966159705,apolog,16,common,apology
99,2.8200406591290803,psycholog,218,common,psychological
100,2.811665400792348,chronic,58,common,chronic
101,2.7913453983013903,resent,93,common,resentment
102,2.786726452445096,activ,36,common,activation
103,2.7724126101398254,emot,218,common,emotions
104,2.7585555754783995,enhanc,25,common,enhanced
105,2.7585555754783995,arous,15,common,arousing
106,2.7585555754783995,guilt,165,common,guilt
107,2.7585555754783995,vs,20,common,vs
108,2.7585555754783995,frontal,15,common,frontal
109,2.7585555754783995,atheist,15,common,atheists
110,2.7585555754783995,retriev,50,common,retrieved
111,2.7585555754783995,anterior,25,common,anterior
112,2.7585555754783995,cortic,15,common,cortical
113,2.7585555754783995,addict,15,common,addiction
114,2.717733580958144,scale,24,common,scales
115,2.717733580958144,symptom,24,common,symptom
116,2.7103534736605215,emot,162,common,emotion
117,2.707262281090849,jealou,19,common,jealous
118,2.707262281090849,thirst,19,common,thirst
119,2.6933150536099983,ethic,89,common,ethics
120,2.6921104760702463,satisfact,131,common,satisfaction
121,2.689562703991448,toxic,14,common,toxic
122,2.6751739665393486,psychiatr,23,common,psychiatric
123,2.658828877538829,sexual,267,common,sexual
124,2.653195059820573,verif,18,common,verification
125,2.640772539822016,posit,40,common,positively
126,2.640772539822016,freud,40,common,freud
127,2.6212434600139707,neg,231,common,negative
128,2.615454731837726,insensit,13,common,insensitive
129,2.615454731837726,research,13,common,researcher
130,2.615454731837726,tortur,13,common,torture
131,2.6095199963179114,shi,56,common,shy
132,2.5960366459806243,buddhist,17,common,buddhist
133,2.5842021883336215,addit,21,common,additionally
134,2.5762340186844446,affect,75,common,affection
135,2.562810998352304,gene,37,common,gene
136,2.5578848800162484,outcom,45,common,outcomes
137,2.5443009715814355,passion,113,common,passion
138,2.5354120241641898,infant,12,common,infants
139,2.5354120241641898,psychologist,44,common,psychologists
140,2.5354120241641898,portal,12,common,portal
141,2.5354120241641898,virtuou,24,common,virtuous
142,2.5354120241641898,signal,20,common,signaling
143,2.5354120241641898,advoc,16,common,advocated
144,2.5354120241641898,cope,32,common,coping
145,2.5354120241641898,contrast,16,common,contrasted
146,2.5354120241641898,inhibit,24,common,inhibition
147,2.5354120241641898,end,12,common,endings
148,2.5186049058478086,disappoint,59,common,disappointment
149,2.5100942161799,theori,78,common,theories
150,2.5055590610145084,horror,66,common,horror
151,2.505198245567693,pride,163,common,pride
152,2.4928524097453937,focus,23,common,focusing
153,2.4928524097453937,overal,46,common,overall
154,2.4928524097453937,therapi,46,common,therapy
155,2.484118729776639,tendenc,19,common,tendencies
156,2.4708735030266182,global,15,common,global
157,2.4708735030266182,augustin,15,common,augustine
158,2.4647944569502362,physiolog,82,common,physiological
159,2.4581806762281997,posit,274,common,positive
160,2.44840064717456,distress,55,common,distress
161,2.4484006471745596,borderlin,11,common,borderline
162,2.4484006471745596,involuntari,11,common,involuntary
163,2.4484006471745596,adulthood,11,common,adulthood
164,2.4484006471745596,intercours,33,common,intercourse
165,2.4484006471745596,resent,11,common,resentful
166,2.4300515085063634,compass,18,common,compassion
167,2.4300515085063634,irrit,18,common,irritable
168,2.4300515085063634,co,18,common,co
169,2.4220833388571865,bodili,25,common,bodily
170,2.417628988507806,buddhism,32,common,buddhism
171,2.401880631539667,hypothes,14,common,hypotheses
172,2.401880631539667,peer,28,common,peer
173,2.401880631539667,depict,21,common,depicting
174,2.401880631539667,practition,21,common,practitioners
175,2.3895601471516263,affect,121,common,affect
176,2.3858802901932257,philosoph,31,common,philosophers
177,2.3822078659409622,suffer,151,common,suffering
178,2.369619769321446,refer,61,common,refers
179,2.3683579395010232,acut,44,common,acute
180,2.353090467370235,regret,10,common,regrets
181,2.353090467370235,adulteri,10,common,adultery
182,2.353090467370235,cord,20,common,cord
183,2.353090467370235,greed,10,common,greed
184,2.353090467370235,sensori,30,common,sensory
185,2.353090467370235,reward,50,common,reward
186,2.353090467370235,digest,10,common,digestive
187,2.353090467370235,motiv,30,common,motivated
188,2.353090467370235,reproduct,20,common,reproduction
189,2.353090467370235,prefer,30,common,preference
190,2.3387017299181356,potenti,23,common,potentially
191,2.3387017299181356,vaniti,23,common,vanity
192,2.327772659385945,decreas,26,common,decreased
193,2.327772659385945,reward,13,common,rewards
194,2.327772659385945,intrins,13,common,intrinsically
195,2.327772659385945,age,13,common,aging
196,2.327772659385945,individualist,13,common,individualistic
197,2.327772659385945,hatr,65,common,hatred
198,2.327772659385945,environ,13,common,environments
199,2.327772659385945,antagonist,13,common,antagonists
200,2.327772659385945,preval,13,common,prevalence
201,2.3191889156945535,versu,29,common,versus
202,2.314869254550037,desir,77,common,desires
203,2.3122684728499796,adapt,32,common,adaptation
204,2.3122684728499796,kind,16,common,kindness
205,2.3083545735288435,person,153,common,personality
206,2.3048883655523573,emot,216,common,emotional
207,2.3017971729826847,affect,114,common,affected
208,2.3017971729826847,teach,19,common,teachings
209,2.2912150636521473,brain,141,common,brain
210,2.2850013465096404,desir,246,common,desire
211,2.284097595883283,challeng,28,common,challenged
212,2.2805197745353993,virtu,93,common,virtue
213,2.2805197745353993,aggress,31,common,aggression
214,2.275128925900523,behavior,296,common,behavior
215,2.2671480375695103,flow,208,common,flow
216,2.2585996239493125,associ,185,common,associated
217,2.2477299517124085,paradox,27,common,paradox
218,2.2477299517124085,diminish,9,common,diminish
219,2.2477299517124085,seduct,9,common,seduction
220,2.2477299517124085,activ,15,common,activated
221,2.2477299517124085,provok,9,common,provoke
222,2.2477299517124085,hindu,9,common,hindu
223,2.2477299517124085,aristotl,63,common,aristotle
224,2.2477299517124085,transient,9,common,transient
225,2.2477299517124085,depress,33,common,depressed
226,2.2477299517124085,singer,30,common,singer
227,2.2477299517124085,islam,9,common,islamic
228,2.2477299517124085,reward,12,common,rewarding
229,2.2477299517124085,fulfil,9,common,fulfilling
230,2.2477299517124085,pelvic,9,common,pelvic
231,2.2477299517124085,verb,12,common,verb
232,2.2477299517124085,motiv,9,common,motivating
233,2.2477299517124085,rape,15,common,rape
234,2.2477299517124085,defin,15,common,defines
235,2.2477299517124085,mid,9,common,mid
236,2.2477299517124085,muslim,9,common,muslim
237,2.2266765425145763,anger,141,common,anger
238,2.219559074745712,function,35,common,functioning
239,2.213828400036727,vagina,29,common,vagina
240,2.2087277939091394,feel,176,common,feelings
241,2.200662440854423,util,83,common,utility
242,2.1964366573248584,anticip,57,common,anticipation
243,2.191377015161277,individu,207,common,individuals
244,2.19057153787246,withdraw,17,common,withdrawal
245,2.19057153787246,heighten,17,common,heightened
246,2.1787370802254573,facilit,14,common,facilitate
247,2.1787370802254573,disabl,14,common,disability
248,2.1787370802254573,adapt,14,common,adapt
249,2.1787370802254573,tempor,14,common,temporal
250,2.1787370802254573,psychoanalysi,14,common,psychoanalysis
251,2.173621979558687,respons,78,common,responses
252,2.1638484677317065,suggest,80,common,suggests
253,2.160718574722779,experienti,11,common,experiential
254,2.160718574722779,conceptu,11,common,conceptual
255,2.160718574722779,discuss,11,common,discusses
256,2.160718574722779,text,11,common,texts
257,2.1586021718164012,mental,118,common,mental
258,2.1546395286463964,unpleas,41,common,unpleasant
259,2.147646493155426,impair,19,common,impaired
260,2.13772905649808,typic,43,common,typically
261,2.129946916056025,distract,8,common,distraction
262,2.129946916056025,le,8,common,les
263,2.129946916056025,nausea,8,common,nausea
264,2.129946916056025,subtyp,8,common,subtype
265,2.129946916056025,hobbi,8,common,hobbies
266,2.129946916056025,identifi,8,common,identifying
267,2.129946916056025,footnot,8,common,footnotes
268,2.1141985590878862,avoid,21,common,avoidance
269,2.111928410553347,despair,55,common,despair
270,2.104629108071735,obsess,13,common,obsession
271,2.092620958443339,person,447,common,person
272,2.0901010075088258,link,41,common,linked
273,2.0901010075088258,philosoph,41,common,philosopher
274,2.0873873016372295,percept,23,common,perceptions
275,2.0786536216684746,social,38,common,socially
276,2.077104434681645,femal,43,common,females
277,2.065408394918454,uncondit,10,common,unconditional
278,2.065408394918454,date,10,common,dating
279,2.065408394918454,innat,10,common,innate
280,2.065408394918454,inhibit,20,common,inhibit
281,2.065408394918454,hobbi,10,common,hobby
282,2.065408394918454,sensat,35,common,sensation
283,2.065408394918454,psycholog,10,common,psychologically
284,2.065408394918454,engag,35,common,engage
285,2.065408394918454,stamp,10,common,stamps
286,2.065408394918454,encompass,10,common,encompass
287,2.0364208580452017,continuum,17,common,continuum
288,2.0364208580452017,environment,17,common,environmental
289,2.0315068432427728,focus,29,common,focused
290,2.0294763856923907,significantli,41,common,significantly
291,2.024586400398199,inhibit,12,common,inhibited
292,2.024586400398199,affect,12,common,affecting
293,2.024586400398199,enhanc,12,common,enhance
294,2.024586400398199,sub,12,common,sub
295,2.0181555100679085,induc,31,common,induced
296,2.0141151005309035,solv,19,common,solving
297,2.0113411736481783,relationship,90,common,relationships
298,2.0107784274318643,term,187,common,term
299,1.9964155234315024,coin,7,common,coined
300,1.9964155234315024,unjust,7,common,unjust
301,1.9964155234315024,cellular,7,common,cellular
302,1.9964155234315024,intergroup,7,common,intergroup
303,1.9964155234315024,kinship,7,common,kinship
304,1.9964155234315024,antiqu,7,common,antiquity
305,1.9964155234315024,synonym,7,common,synonyms
306,1.9964155234315024,infer,7,common,inferred
307,1.9964155234315024,domain,7,common,domains
308,1.9964155234315024,socioeconom,7,common,socioeconomic
309,1.9964155234315024,confucian,7,common,confucian
310,1.9964155234315024,hopeless,7,common,hopelessness
311,1.9964155234315024,reward,7,common,rewarded
312,1.9964155234315024,hinder,7,common,hindered
313,1.9964155234315024,episod,28,common,episode
314,1.9899008424103088,panic,51,common,panic
315,1.9888683177961197,male,44,common,males
316,1.983915360667271,level,159,common,levels
317,1.9828467942254338,content,122,common,content
318,1.970098215114129,orient,25,common,oriented
319,1.9674279865582502,parent,34,common,parent
320,1.9600478792606277,ecstat,9,common,ecstatic
321,1.9600478792606277,conclud,9,common,concludes
322,1.9600478792606277,promot,9,common,promotes
323,1.9600478792606277,particip,9,common,participant
324,1.9600478792606277,infatu,9,common,infatuation
325,1.9600478792606277,modul,9,common,modulation
326,1.9600478792606277,decept,9,common,deceptive
327,1.9600478792606277,ill,45,common,illness
328,1.9600478792606277,psychiatrist,9,common,psychiatrist
329,1.9555935289112474,al,56,common,al
330,1.9547428270309346,character,47,common,characterized
331,1.9514641355692364,ed,29,common,ed
332,1.9476253592620705,induc,20,common,induce
333,1.9375750234085691,liber,11,common,liberation
334,1.9375750234085691,deceas,22,common,deceased
335,1.9375750234085691,sensat,22,common,sensations
336,1.9375750234085691,express,33,common,expressions
337,1.9324159405985417,experi,116,common,experiences
338,1.9318770022939313,stuart,35,common,stuart
339,1.929276220593874,durat,24,common,duration
340,1.929276220593874,criterion,24,common,criterion
341,1.9268222316323074,interact,37,common,interaction
