,Score,Stem,Tf,Type,Word
0,4.292501737995065,veto,104,common,veto
1,4.253281024841783,citat,50,common,citation
2,4.1791730526880615,collaps,65,common,collapse
3,3.896606080903051,islam,21,common,islamic
4,3.88999991962078,anarch,29,specific,
5,3.6423719425188104,particip,38,common,participants
6,3.560133844281838,interperson,15,common,interpersonal
7,3.560133844281838,crane,25,common,crane
8,3.541784705613642,wealth,108,common,wealth
9,3.5376609884297796,obedi,44,common,obedience
10,3.4767522353427873,templat,23,common,template
11,3.417033000641165,portal,13,common,portal
12,3.417033000641165,mid,13,common,mid
13,3.417033000641165,interact,13,common,interactions
14,3.3778122874878838,autom,25,common,automation
15,3.3369902929676285,authoritarian,20,common,authoritarian
16,3.3369902929676285,wrought,12,common,wrought
17,3.3369902929676285,shock,20,common,shocks
18,3.285696998580078,experiment,19,common,experimenter
19,3.2724517718300574,assent,15,common,assent
20,3.249978915977999,behaviour,11,common,behaviour
21,3.2416801131633037,domin,40,common,dominance
22,3.1744713634698534,comput,17,common,computers
23,3.160533855626072,product,57,common,productivity
24,3.154668736173674,ruler,10,common,ruler
25,3.113846741653419,holocaust,16,common,holocaust
26,3.0493082205158477,revolut,21,common,revolutions
27,3.0493082205158477,global,12,common,global
28,3.0493082205158477,reward,12,common,rewards
29,3.0493082205158477,tibetan,9,common,tibetan
30,3.023332734112587,media,38,common,media
31,2.980315349028896,non,28,common,non
32,2.980315349028896,dynasti,14,common,dynasty
33,2.9752002483621256,boundari,39,common,boundaries
34,2.962296843526218,particip,11,common,participant
35,2.9439477048580214,packag,54,common,package
36,2.931525184859464,shovel,8,common,shovels
37,2.931525184859464,interchang,8,common,interchangeable
38,2.931525184859464,islam,8,common,islam
39,2.866986663721893,labour,10,common,labour
40,2.866986663721893,feedback,10,common,feedback
41,2.8445138078698347,hierarchi,22,common,hierarchy
42,2.8310546544958295,steam,41,common,steam
43,2.826164669201638,pulp,12,common,pulp
44,2.7979937922349416,cohen,7,common,cohen
45,2.7979937922349416,expertis,7,common,expertise
46,2.761626148064067,research,9,common,researchers
47,2.761626148064067,vatican,9,common,vatican
