,Score,Stem,Tf,Type,Word
0,4.563681375580218,explor,22,common,explorers
1,4.0375882796834395,mid,13,common,mid
2,3.992636891821173,fantasi,58,common,fantasy
3,3.986533108883155,sport,70,common,sport
4,3.9575455720099026,citat,20,common,citation
5,3.9575455720099026,zealand,12,common,zealand
6,3.883437599856181,adventur,52,common,adventure
7,3.8240141793853804,global,14,common,global
8,3.775224015215948,arriv,10,common,arrivals
9,3.741322463540267,destin,29,common,destination
10,3.7262164361092536,fiction,146,common,fiction
11,3.669863499558122,nich,9,common,niche
12,3.6352579703806462,sport,142,common,sports
13,3.6210733353886897,olymp,20,common,olympic
14,3.4875419427641674,iceland,10,common,iceland
15,3.458554405890915,particip,17,common,participants
16,3.4185490712772157,drama,14,common,dramas
17,3.404160333825116,non,23,common,non
18,3.2643983914499577,thailand,8,common,thailand
19,3.2643983914499577,documentari,8,common,documentary
20,3.2643983914499577,explor,10,common,exploring
21,3.130866998825435,explor,7,common,explorer
22,3.130866998825435,overlap,7,common,overlap
23,3.130866998825435,shooter,7,common,shooter
24,3.130866998825435,featur,7,common,featuring
25,3.130866998825435,challeng,7,common,challenges
26,3.1238164408287683,travel,106,common,travel
27,3.1177949172580823,explor,19,common,explored
28,3.082076834656003,tourist,20,common,tourists
29,3.082076834656003,mytholog,5,common,mythology
30,3.0412548401357475,program,8,common,programming
31,3.0338747328381253,horror,27,common,horror
32,3.0020341269824664,stimul,20,common,stimulation
33,2.9767163189981765,theme,12,common,themes
34,2.9767163189981765,travel,6,common,travelling
35,2.9767163189981765,parodi,6,common,parody
36,2.950740832594916,romanc,19,common,romance
37,2.945944660331423,leisur,16,common,leisure
38,2.9279261548287447,dystopian,10,common,dystopian
39,2.9077234475112252,apocalypt,7,common,apocalyptic
40,2.8897049420085468,tourist,22,common,tourist
41,2.858933283341793,focus,16,common,focused
42,2.858933283341793,chess,4,common,chess
43,2.858933283341793,monster,4,common,monsters
44,2.858933283341793,pedro,4,common,pedro
45,2.858933283341793,antiqu,4,common,antiquity
46,2.858933283341793,emphas,4,common,emphasizes
47,2.858933283341793,interact,4,common,interactions
48,2.8488829474882915,explor,33,common,exploration
49,2.8225656391709184,saga,9,common,saga
50,2.8225656391709184,recess,9,common,recession
51,2.8225656391709184,spain,9,common,spain
52,2.794394762204222,specialti,5,common,specialty
53,2.794394762204222,specul,10,common,speculative
54,2.794394762204222,maritim,5,common,maritime
55,2.7535727676839667,advent,6,common,advent
56,2.7535727676839667,templat,6,common,template
57,2.7535727676839667,televis,60,common,television
58,2.7254018907172703,packag,7,common,packages
59,2.7254018907172703,focus,7,common,focusing
60,2.704782603514535,world,8,common,worlds
61,2.704782603514535,ban,8,common,ban
62,2.6890342465463957,travel,9,common,travelers
63,2.6766117265478386,satir,10,common,satire
64,2.6766117265478386,comic,10,common,comic
65,2.6766117265478386,human,10,common,humans
66,2.631875832706447,typic,17,common,typically
67,2.5712512108900123,ocean,3,common,oceans
68,2.5712512108900123,celebr,3,common,celebrity
69,2.5712512108900123,interperson,3,common,interpersonal
70,2.5712512108900123,sub,5,common,sub
71,2.5712512108900123,nonfict,4,common,nonfiction
72,2.5712512108900123,portal,3,common,portal
73,2.5712512108900123,instruct,3,common,instructional
74,2.5712512108900123,adversari,3,common,adversaries
75,2.5712512108900123,guinea,3,common,guinea
76,2.5712512108900123,athlet,5,common,athletes
77,2.5712512108900123,campbel,4,common,campbell
78,2.5712512108900123,viewer,3,common,viewers
79,2.5712512108900123,cartoon,3,common,cartoon
80,2.5712512108900123,definit,6,common,definitions
81,2.5712512108900123,doom,3,common,doom
82,2.5712512108900123,set,9,common,settings
83,2.5712512108900123,experienti,4,common,experiential
84,2.5712512108900123,austria,4,common,austria
85,2.5712512108900123,impact,3,common,impacts
86,2.5712512108900123,expedit,6,common,expeditions
87,2.5712512108900123,riski,3,common,risky
88,2.49714323873629,adventur,13,common,adventures
89,2.453468175233629,spectat,8,common,spectator
90,2.453468175233629,convent,8,common,conventions
91,2.453468175233629,volunt,8,common,volunteer
92,2.434050089376527,comedi,34,common,comedy
93,2.433100872409195,film,27,common,films
94,2.417100531062754,receipt,6,common,receipts
95,2.417100531062754,crime,30,common,crime
96,2.416950819898416,sustain,14,specific,
97,2.392559422146636,game,46,common,games
98,2.388929654096058,suspens,5,common,suspense
99,2.388929654096058,monster,5,common,monster
100,2.388929654096058,magic,10,common,magical
101,2.377095196449055,supernatur,14,common,supernatural
102,2.3649147778921837,stori,48,common,stories
103,2.3481076595758026,migrat,4,common,migration
104,2.3481076595758026,journal,4,common,journals
105,2.3481076595758026,pulp,4,common,pulp
106,2.3481076595758026,adventur,4,common,adventurous
107,2.3481076595758026,travel,4,common,travels
108,2.3481076595758026,disabl,4,common,disability
109,2.3481076595758026,defin,4,common,defines
110,2.3481076595758026,stimuli,4,common,stimuli
111,2.3481076595758026,airlin,4,common,airlines
112,2.3481076595758026,strait,4,common,strait
113,2.336411619812611,drama,34,common,drama
114,2.319936782609106,turkey,7,common,turkey
115,2.319936782609106,charact,28,common,characters
116,2.283569138438231,exploit,3,common,exploits
117,2.283569138438231,harm,3,common,harmful
118,2.283569138438231,funk,3,common,funk
119,2.283569138438231,dystopia,6,common,dystopias
