,Score,Stem,Tf,Type,Word
0,5.5609521747121775,humil,149,common,humility
1,4.469028874194864,citat,50,common,citation
2,4.400036002707913,greed,28,common,greed
3,4.33359090329976,virtu,131,common,virtues
4,4.009496544816424,ethic,120,common,ethics
5,3.9909930732518646,virtu,186,common,virtue
6,3.9156436360100777,text,23,common,texts
7,3.9094130862594416,lore,40,common,lore
8,3.901044836588925,madonna,17,common,madonna
9,3.8404202147724904,parabl,16,common,parable
10,3.8404202147724904,islam,16,common,islam
11,3.8151024067882005,non,52,common,non
12,3.7350596991146636,oneself,24,common,oneself
13,3.7350596991146636,lust,24,common,lust
14,3.6565349360023527,sin,71,common,sins
15,3.5163704981498345,envi,27,common,envy
16,3.5101785279019135,trait,23,common,traits
17,3.507068105487521,folklor,107,common,folklore
18,3.488199621183138,buddhist,15,common,buddhist
19,3.4657267653310795,abort,22,common,abortion
20,3.4657267653310795,fortitud,11,common,fortitude
21,3.4657267653310795,trait,11,common,trait
22,3.4192067496961864,myth,21,common,myths
23,3.3704165855267547,goddess,10,common,goddess
24,3.3704165855267547,hindu,10,common,hindu
25,3.3450987775424648,gregori,13,common,gregory
26,3.3295945910064995,vice,16,common,vices
27,3.2650560698689284,augustin,12,common,augustine
28,3.2650560698689284,self,117,common,self
29,3.2650560698689284,portal,9,common,portal
30,3.216265905699496,tradit,60,common,traditions
31,3.147273034212545,moder,8,common,moderation
32,3.147273034212545,behavior,8,common,behavioral
33,3.147273034212545,luke,8,common,luke
34,3.147273034212545,sim,8,common,sims
35,3.1472730342125446,philosoph,24,common,philosophers
36,3.121955226228255,templat,13,common,template
37,3.104713419793749,wrath,23,common,wrath
38,3.0827345130749735,scriptur,10,common,scripture
39,3.0827345130749735,modesti,10,common,modesty
40,3.0827345130749735,prudenc,15,common,prudence
41,3.0602616572229153,buddhism,22,common,buddhism
42,3.0537469762017215,perform,17,common,performer
43,3.0419125185547187,vow,12,common,vows
44,3.0137416415880223,pacif,7,common,pacifism
45,3.0137416415880223,mytholog,7,common,mythology
46,3.0137416415880223,virtuou,14,common,virtuous
47,3.0137416415880223,sin,7,common,sinful
48,2.9931223543852865,moral,16,common,morally
49,2.9832049177279405,deadli,43,common,deadly
50,2.954901141565089,monk,22,common,monks
51,2.954901141565089,compass,11,common,compassion
52,2.8973312897436108,alcohol,27,common,alcohol
53,2.859590961760764,restraint,22,common,restraint
54,2.859590961760764,taoism,8,common,taoism
55,2.859590961760764,practic,16,common,practiced
56,2.8595909617607638,zealand,6,common,zealand
57,2.8595909617607638,origen,6,common,origen
58,2.8595909617607638,parad,6,common,parades
59,2.8595909617607638,mystic,10,common,mystical
60,2.8595909617607638,origin,14,common,origins
61,2.8595909617607638,pleasur,12,common,pleasures
62,2.772579584771134,humbl,33,common,humble
63,2.754230446102938,evangel,9,common,evangelical
64,2.7509571207579686,folk,61,common,folk
65,2.726059569136241,ritual,7,common,rituals
66,2.726059569136241,matthew,7,common,matthew
67,2.726059569136241,chariti,14,common,charity
68,2.7107453341631986,tradit,162,common,tradition
